# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,3.651e-04
509.000,3.545e-04
518.162,3.440e-04
527.489,3.335e-04
536.984,3.231e-04
546.649,3.131e-04
556.489,3.035e-04
566.506,2.945e-04
576.703,2.858e-04
587.084,2.772e-04
597.651,2.686e-04
608.409,2.602e-04
619.360,2.522e-04
630.509,2.447e-04
641.858,2.375e-04
653.411,2.306e-04
665.173,2.237e-04
677.146,2.169e-04
689.334,2.102e-04
701.743,2.039e-04
714.374,1.979e-04
727.233,1.922e-04
740.323,1.866e-04
753.649,1.810e-04
767.214,1.755e-04
781.024,1.701e-04
795.083,1.650e-04
809.394,1.602e-04
823.963,1.555e-04
838.794,1.509e-04
853.893,1.464e-04
869.263,1.418e-04
884.910,1.375e-04
900.838,1.334e-04
917.053,1.295e-04
933.560,1.258e-04
950.364,1.221e-04
967.471,1.184e-04
984.885,1.147e-04
1002.613,1.113e-04
1020.660,1.081e-04
1039.032,1.050e-04
1057.735,1.019e-04
1076.774,9.896e-05
1096.156,9.598e-05
1115.886,9.307e-05
1135.972,9.028e-05
1156.420,8.762e-05
1177.235,8.507e-05
1198.426,8.257e-05
1219.997,8.008e-05
1241.957,7.762e-05
1264.313,7.522e-05
1287.070,7.296e-05
1310.237,7.084e-05
1333.822,6.880e-05
1357.831,6.678e-05
1382.271,6.478e-05
1407.152,6.279e-05
1432.481,6.090e-05
1458.266,5.911e-05
1484.515,5.740e-05
1511.236,5.573e-05
1538.438,5.410e-05
1566.130,5.247e-05
1594.320,5.087e-05
1623.018,4.932e-05
1652.232,4.785e-05
1681.973,4.644e-05
1712.248,4.508e-05
1743.069,4.372e-05
1774.444,4.236e-05
1806.384,4.105e-05
1838.899,3.980e-05
1871.999,3.863e-05
1905.695,3.749e-05
1939.997,3.638e-05
1974.917,3.528e-05
2010.466,3.419e-05
2046.654,3.313e-05
2083.494,3.214e-05
2120.997,3.119e-05
2159.175,3.027e-05
2198.040,2.937e-05
2237.605,2.848e-05
2277.882,2.759e-05
2318.883,2.674e-05
2360.623,2.593e-05
2403.115,2.515e-05
2446.371,2.440e-05
2490.405,2.365e-05
2535.233,2.291e-05
2580.867,2.219e-05
2627.322,2.149e-05
2674.614,2.084e-05
2722.757,2.021e-05
2771.767,1.960e-05
2821.659,1.900e-05
2872.448,1.840e-05
2924.153,1.781e-05
2976.787,1.726e-05
3030.369,1.674e-05
3084.916,1.623e-05
3140.445,1.574e-05
3196.973,1.525e-05
3254.518,1.477e-05
3313.099,1.430e-05
3372.735,1.385e-05
3433.444,1.342e-05
3495.246,1.301e-05
3558.161,1.260e-05
3622.208,1.220e-05
3687.408,1.180e-05
3753.781,1.142e-05
3821.349,1.106e-05
3890.133,1.072e-05
3960.156,1.038e-05
4031.438,1.006e-05
4104.004,9.731e-06
4177.876,9.412e-06
4253.078,9.109e-06
4329.634,8.822e-06
4407.567,8.547e-06
4486.903,8.278e-06
4567.667,8.014e-06
4649.885,7.752e-06
4733.583,7.496e-06
4818.788,7.252e-06
4905.526,7.019e-06
4993.826,6.796e-06
5083.714,6.579e-06
5175.221,6.362e-06
5268.375,6.147e-06
5363.206,5.941e-06
5459.744,5.746e-06
5558.019,5.561e-06
5658.063,5.382e-06
5759.909,5.207e-06
5863.587,5.033e-06
5969.131,4.863e-06
6076.576,4.698e-06
6185.954,4.543e-06
6297.301,4.395e-06
6410.653,4.253e-06
6526.045,4.112e-06
6643.513,3.973e-06
6763.097,3.836e-06
6884.832,3.706e-06
7008.759,3.583e-06
7134.917,3.465e-06
7263.346,3.349e-06
7394.086,3.235e-06
7527.179,3.122e-06
7662.669,3.013e-06
7800.597,2.909e-06
7941.007,2.811e-06
8083.945,2.717e-06
8229.456,2.625e-06
8377.587,2.535e-06
8528.383,2.445e-06
8681.894,2.358e-06
8838.168,2.276e-06
8997.255,2.200e-06
9159.206,2.126e-06
9324.072,2.052e-06
9491.905,1.980e-06
9662.759,1.909e-06
9836.689,1.842e-06
10013.749,1.777e-06
10193.997,1.716e-06
10377.489,1.656e-06
10564.283,1.598e-06
10754.440,1.540e-06
10948.020,1.484e-06
11145.085,1.430e-06
11345.696,1.379e-06
11549.919,1.331e-06
11757.817,1.285e-06
11969.458,1.238e-06
12184.908,1.193e-06
12404.237,1.148e-06
12627.513,1.107e-06
12854.808,1.068e-06
13086.195,1.030e-06
13321.746,9.928e-07
13561.538,9.563e-07
13805.645,9.207e-07
14054.147,8.865e-07
14307.122,8.539e-07
14564.650,8.229e-07
14826.813,7.932e-07
15093.696,7.641e-07
15365.383,7.353e-07
15641.960,7.072e-07
15923.515,6.801e-07
16210.138,6.552e-07
16501.921,6.313e-07
16798.955,6.081e-07
17101.336,5.851e-07
17409.160,5.625e-07
17722.525,5.410e-07
18041.531,5.204e-07
18366.278,5.009e-07
18696.871,4.823e-07
19033.415,4.641e-07
19376.016,4.464e-07
19724.785,4.290e-07
20079.831,4.122e-07
20441.268,3.962e-07
20809.211,3.813e-07
21183.776,3.669e-07
21565.084,3.528e-07
21953.256,3.389e-07
22348.415,3.252e-07
22750.686,3.125e-07
23160.198,3.004e-07
23577.082,2.889e-07
24001.469,2.777e-07
24433.496,2.667e-07
24873.299,2.560e-07
25321.018,2.458e-07
25776.796,2.359e-07
26240.779,2.266e-07
26713.113,2.178e-07
27193.949,2.093e-07
27683.440,2.009e-07
28181.742,1.927e-07
28689.013,1.848e-07
29205.415,1.773e-07
29731.113,1.704e-07
30266.273,1.636e-07
