# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,3.697e-06
509.000,3.588e-06
518.162,3.481e-06
527.489,3.374e-06
536.984,3.268e-06
546.649,3.164e-06
556.489,3.065e-06
566.506,2.973e-06
576.703,2.884e-06
587.084,2.797e-06
597.651,2.710e-06
608.409,2.624e-06
619.360,2.541e-06
630.509,2.464e-06
641.858,2.391e-06
653.411,2.321e-06
665.173,2.252e-06
677.146,2.182e-06
689.334,2.115e-06
701.743,2.050e-06
714.374,1.989e-06
727.233,1.931e-06
740.323,1.875e-06
753.649,1.819e-06
767.214,1.763e-06
781.024,1.708e-06
795.083,1.656e-06
809.394,1.607e-06
823.963,1.560e-06
838.794,1.514e-06
853.893,1.469e-06
869.263,1.423e-06
884.910,1.379e-06
900.838,1.338e-06
917.053,1.298e-06
933.560,1.261e-06
950.364,1.224e-06
967.471,1.187e-06
984.885,1.151e-06
1002.613,1.116e-06
1020.660,1.083e-06
1039.032,1.052e-06
1057.735,1.022e-06
1076.774,9.924e-07
1096.156,9.627e-07
1115.886,9.336e-07
1135.972,9.054e-07
1156.420,8.786e-07
1177.235,8.531e-07
1198.426,8.283e-07
1219.997,8.037e-07
1241.957,7.791e-07
1264.313,7.551e-07
1287.070,7.324e-07
1310.237,7.111e-07
1333.822,6.908e-07
1357.831,6.708e-07
1382.271,6.510e-07
1407.152,6.312e-07
1432.481,6.123e-07
1458.266,5.944e-07
1484.515,5.772e-07
1511.236,5.607e-07
1538.438,5.445e-07
1566.130,5.284e-07
1594.320,5.124e-07
1623.018,4.970e-07
1652.232,4.822e-07
1681.973,4.682e-07
1712.248,4.546e-07
1743.069,4.411e-07
1774.444,4.277e-07
1806.384,4.146e-07
1838.899,4.021e-07
1871.999,3.903e-07
1905.695,3.790e-07
1939.997,3.680e-07
1974.917,3.571e-07
2010.466,3.463e-07
2046.654,3.358e-07
2083.494,3.258e-07
2120.997,3.163e-07
2159.175,3.071e-07
2198.040,2.982e-07
2237.605,2.894e-07
2277.882,2.806e-07
2318.883,2.721e-07
2360.623,2.639e-07
2403.115,2.561e-07
2446.371,2.486e-07
2490.405,2.412e-07
2535.233,2.338e-07
2580.867,2.266e-07
2627.322,2.196e-07
2674.614,2.130e-07
2722.757,2.067e-07
2771.767,2.006e-07
2821.659,1.946e-07
2872.448,1.887e-07
2924.153,1.828e-07
2976.787,1.772e-07
3030.369,1.720e-07
3084.916,1.669e-07
3140.445,1.619e-07
3196.973,1.571e-07
3254.518,1.522e-07
3313.099,1.475e-07
3372.735,1.430e-07
3433.444,1.386e-07
3495.246,1.345e-07
3558.161,1.304e-07
3622.208,1.263e-07
3687.408,1.223e-07
3753.781,1.185e-07
3821.349,1.148e-07
3890.133,1.113e-07
3960.156,1.080e-07
4031.438,1.047e-07
4104.004,1.014e-07
4177.876,9.816e-08
4253.078,9.507e-08
4329.634,9.215e-08
4407.567,8.935e-08
4486.903,8.662e-08
4567.667,8.394e-08
4649.885,8.130e-08
4733.583,7.869e-08
4818.788,7.619e-08
4905.526,7.380e-08
4993.826,7.152e-08
5083.714,6.930e-08
5175.221,6.709e-08
5268.375,6.490e-08
5363.206,6.278e-08
5459.744,6.077e-08
5558.019,5.887e-08
5658.063,5.703e-08
5759.909,5.523e-08
5863.587,5.345e-08
5969.131,5.170e-08
6076.576,5.000e-08
6185.954,4.840e-08
6297.301,4.687e-08
6410.653,4.539e-08
6526.045,4.395e-08
6643.513,4.251e-08
6763.097,4.109e-08
6884.832,3.974e-08
7008.759,3.846e-08
7134.917,3.722e-08
7263.346,3.602e-08
7394.086,3.484e-08
7527.179,3.367e-08
7662.669,3.253e-08
7800.597,3.144e-08
7941.007,3.041e-08
8083.945,2.942e-08
8229.456,2.846e-08
8377.587,2.751e-08
8528.383,2.658e-08
8681.894,2.566e-08
8838.168,2.480e-08
8997.255,2.399e-08
9159.206,2.321e-08
9324.072,2.244e-08
9491.905,2.167e-08
9662.759,2.093e-08
9836.689,2.021e-08
10013.749,1.953e-08
10193.997,1.887e-08
10377.489,1.824e-08
10564.283,1.762e-08
10754.440,1.700e-08
10948.020,1.640e-08
11145.085,1.583e-08
11345.696,1.528e-08
11549.919,1.477e-08
11757.817,1.427e-08
11969.458,1.377e-08
12184.908,1.328e-08
12404.237,1.281e-08
12627.513,1.236e-08
12854.808,1.194e-08
13086.195,1.153e-08
13321.746,1.113e-08
13561.538,1.074e-08
13805.645,1.035e-08
14054.147,9.981e-09
14307.122,9.626e-09
14564.650,9.288e-09
14826.813,8.963e-09
15093.696,8.647e-09
15365.383,8.335e-09
15641.960,8.027e-09
15923.515,7.731e-09
16210.138,7.456e-09
16501.921,7.193e-09
16798.955,6.938e-09
17101.336,6.687e-09
17409.160,6.439e-09
17722.525,6.201e-09
18041.531,5.973e-09
18366.278,5.758e-09
18696.871,5.551e-09
19033.415,5.350e-09
19376.016,5.154e-09
19724.785,4.961e-09
20079.831,4.775e-09
20441.268,4.596e-09
20809.211,4.429e-09
21183.776,4.268e-09
21565.084,4.110e-09
21953.256,3.955e-09
22348.415,3.802e-09
22750.686,3.658e-09
23160.198,3.521e-09
23577.082,3.391e-09
24001.469,3.265e-09
24433.496,3.141e-09
24873.299,3.021e-09
25321.018,2.905e-09
25776.796,2.793e-09
26240.779,2.686e-09
26713.113,2.586e-09
27193.949,2.488e-09
27683.440,2.393e-09
28181.742,2.300e-09
28689.013,2.209e-09
29205.415,2.123e-09
29731.113,2.043e-09
30266.273,1.965e-09
