# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,2.445e-04
509.000,2.373e-04
518.162,2.302e-04
527.489,2.232e-04
536.984,2.162e-04
546.649,2.094e-04
556.489,2.030e-04
566.506,1.969e-04
576.703,1.911e-04
587.084,1.853e-04
597.651,1.796e-04
608.409,1.739e-04
619.360,1.685e-04
630.509,1.634e-04
641.858,1.586e-04
653.411,1.540e-04
665.173,1.494e-04
677.146,1.448e-04
689.334,1.403e-04
701.743,1.360e-04
714.374,1.320e-04
727.233,1.282e-04
740.323,1.244e-04
753.649,1.207e-04
767.214,1.170e-04
781.024,1.134e-04
795.083,1.100e-04
809.394,1.067e-04
823.963,1.036e-04
838.794,1.005e-04
853.893,9.747e-05
869.263,9.445e-05
884.910,9.154e-05
900.838,8.879e-05
917.053,8.619e-05
933.560,8.368e-05
950.364,8.122e-05
967.471,7.876e-05
984.885,7.632e-05
1002.613,7.402e-05
1020.660,7.185e-05
1039.032,6.978e-05
1057.735,6.776e-05
1076.774,6.577e-05
1096.156,6.379e-05
1115.886,6.185e-05
1135.972,5.998e-05
1156.420,5.820e-05
1177.235,5.650e-05
1198.426,5.483e-05
1219.997,5.318e-05
1241.957,5.154e-05
1264.313,4.994e-05
1287.070,4.844e-05
1310.237,4.702e-05
1333.822,4.566e-05
1357.831,4.432e-05
1382.271,4.299e-05
1407.152,4.167e-05
1432.481,4.041e-05
1458.266,3.921e-05
1484.515,3.807e-05
1511.236,3.697e-05
1538.438,3.588e-05
1566.130,3.480e-05
1594.320,3.374e-05
1623.018,3.271e-05
1652.232,3.172e-05
1681.973,3.079e-05
1712.248,2.988e-05
1743.069,2.898e-05
1774.444,2.809e-05
1806.384,2.722e-05
1838.899,2.639e-05
1871.999,2.560e-05
1905.695,2.485e-05
1939.997,2.412e-05
1974.917,2.339e-05
2010.466,2.266e-05
2046.654,2.196e-05
2083.494,2.130e-05
2120.997,2.067e-05
2159.175,2.006e-05
2198.040,1.947e-05
2237.605,1.888e-05
2277.882,1.829e-05
2318.883,1.773e-05
2360.623,1.719e-05
2403.115,1.667e-05
2446.371,1.617e-05
2490.405,1.568e-05
2535.233,1.519e-05
2580.867,1.471e-05
2627.322,1.425e-05
2674.614,1.381e-05
2722.757,1.340e-05
2771.767,1.300e-05
2821.659,1.260e-05
2872.448,1.220e-05
2924.153,1.181e-05
2976.787,1.145e-05
3030.369,1.110e-05
3084.916,1.077e-05
3140.445,1.044e-05
3196.973,1.012e-05
3254.518,9.800e-06
3313.099,9.490e-06
3372.735,9.192e-06
3433.444,8.908e-06
3495.246,8.635e-06
3558.161,8.367e-06
3622.208,8.101e-06
3687.408,7.838e-06
3753.781,7.583e-06
3821.349,7.344e-06
3890.133,7.118e-06
3960.156,6.899e-06
4031.438,6.682e-06
4104.004,6.467e-06
4177.876,6.257e-06
4253.078,6.056e-06
4329.634,5.866e-06
4407.567,5.683e-06
4486.903,5.506e-06
4567.667,5.331e-06
4649.885,5.158e-06
4733.583,4.989e-06
4818.788,4.827e-06
4905.526,4.673e-06
4993.826,4.525e-06
5083.714,4.381e-06
5175.221,4.238e-06
5268.375,4.096e-06
5363.206,3.959e-06
5459.744,3.830e-06
5558.019,3.707e-06
5658.063,3.589e-06
5759.909,3.473e-06
5863.587,3.358e-06
5969.131,3.245e-06
6076.576,3.136e-06
6185.954,3.033e-06
6297.301,2.935e-06
6410.653,2.840e-06
6526.045,2.748e-06
6643.513,2.656e-06
6763.097,2.565e-06
6884.832,2.478e-06
7008.759,2.397e-06
7134.917,2.318e-06
7263.346,2.241e-06
7394.086,2.166e-06
7527.179,2.091e-06
7662.669,2.019e-06
7800.597,1.950e-06
7941.007,1.884e-06
8083.945,1.822e-06
8229.456,1.761e-06
8377.587,1.701e-06
8528.383,1.641e-06
8681.894,1.584e-06
8838.168,1.529e-06
8997.255,1.478e-06
9159.206,1.429e-06
9324.072,1.380e-06
9491.905,1.332e-06
9662.759,1.285e-06
9836.689,1.240e-06
10013.749,1.197e-06
10193.997,1.156e-06
10377.489,1.116e-06
10564.283,1.077e-06
10754.440,1.039e-06
10948.020,1.001e-06
11145.085,9.653e-07
11345.696,9.314e-07
11549.919,8.994e-07
11757.817,8.682e-07
11969.458,8.373e-07
12184.908,8.068e-07
12404.237,7.773e-07
12627.513,7.495e-07
12854.808,7.232e-07
13086.195,6.979e-07
13321.746,6.730e-07
13561.538,6.487e-07
13805.645,6.249e-07
14054.147,6.020e-07
14307.122,5.801e-07
14564.650,5.593e-07
14826.813,5.393e-07
15093.696,5.198e-07
15365.383,5.006e-07
15641.960,4.817e-07
15923.515,4.635e-07
16210.138,4.467e-07
16501.921,4.306e-07
16798.955,4.150e-07
17101.336,3.996e-07
17409.160,3.844e-07
17722.525,3.699e-07
18041.531,3.560e-07
18366.278,3.429e-07
18696.871,3.303e-07
19033.415,3.180e-07
19376.016,3.061e-07
19724.785,2.944e-07
20079.831,2.831e-07
20441.268,2.723e-07
20809.211,2.622e-07
21183.776,2.524e-07
21565.084,2.429e-07
21953.256,2.335e-07
22348.415,2.242e-07
22750.686,2.156e-07
23160.198,2.074e-07
23577.082,1.995e-07
24001.469,1.919e-07
24433.496,1.845e-07
24873.299,1.773e-07
25321.018,1.703e-07
25776.796,1.636e-07
26240.779,1.572e-07
26713.113,1.512e-07
27193.949,1.454e-07
27683.440,1.397e-07
28181.742,1.341e-07
28689.013,1.287e-07
29205.415,1.236e-07
29731.113,1.188e-07
30266.273,1.142e-07
