# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,3.579e-06
509.000,3.473e-06
518.162,3.370e-06
527.489,3.266e-06
536.984,3.163e-06
546.649,3.062e-06
556.489,2.967e-06
566.506,2.877e-06
576.703,2.791e-06
587.084,2.707e-06
597.651,2.623e-06
608.409,2.539e-06
619.360,2.459e-06
630.509,2.384e-06
641.858,2.314e-06
653.411,2.246e-06
665.173,2.179e-06
677.146,2.112e-06
689.334,2.046e-06
701.743,1.983e-06
714.374,1.924e-06
727.233,1.868e-06
740.323,1.813e-06
753.649,1.760e-06
767.214,1.705e-06
781.024,1.653e-06
795.083,1.602e-06
809.394,1.555e-06
823.963,1.509e-06
838.794,1.465e-06
853.893,1.420e-06
869.263,1.376e-06
884.910,1.334e-06
900.838,1.294e-06
917.053,1.256e-06
933.560,1.219e-06
950.364,1.184e-06
967.471,1.148e-06
984.885,1.113e-06
1002.613,1.079e-06
1020.660,1.048e-06
1039.032,1.017e-06
1057.735,9.883e-07
1076.774,9.596e-07
1096.156,9.309e-07
1115.886,9.027e-07
1135.972,8.755e-07
1156.420,8.496e-07
1177.235,8.249e-07
1198.426,8.009e-07
1219.997,7.770e-07
1241.957,7.533e-07
1264.313,7.301e-07
1287.070,7.081e-07
1310.237,6.875e-07
1333.822,6.678e-07
1357.831,6.485e-07
1382.271,6.293e-07
1407.152,6.103e-07
1432.481,5.920e-07
1458.266,5.746e-07
1484.515,5.580e-07
1511.236,5.420e-07
1538.438,5.264e-07
1566.130,5.108e-07
1594.320,4.954e-07
1623.018,4.804e-07
1652.232,4.661e-07
1681.973,4.526e-07
1712.248,4.395e-07
1743.069,4.265e-07
1774.444,4.135e-07
1806.384,4.008e-07
1838.899,3.888e-07
1871.999,3.774e-07
1905.695,3.664e-07
1939.997,3.558e-07
1974.917,3.453e-07
2010.466,3.348e-07
2046.654,3.246e-07
2083.494,3.150e-07
2120.997,3.057e-07
2159.175,2.969e-07
2198.040,2.883e-07
2237.605,2.797e-07
2277.882,2.712e-07
2318.883,2.630e-07
2360.623,2.552e-07
2403.115,2.476e-07
2446.371,2.404e-07
2490.405,2.332e-07
2535.233,2.261e-07
2580.867,2.191e-07
2627.322,2.123e-07
2674.614,2.059e-07
2722.757,1.999e-07
2771.767,1.940e-07
2821.659,1.882e-07
2872.448,1.824e-07
2924.153,1.767e-07
2976.787,1.714e-07
3030.369,1.663e-07
3084.916,1.614e-07
3140.445,1.566e-07
3196.973,1.519e-07
3254.518,1.472e-07
3313.099,1.427e-07
3372.735,1.383e-07
3433.444,1.341e-07
3495.246,1.300e-07
3558.161,1.261e-07
3622.208,1.222e-07
3687.408,1.183e-07
3753.781,1.146e-07
3821.349,1.110e-07
3890.133,1.077e-07
3960.156,1.044e-07
4031.438,1.012e-07
4104.004,9.807e-08
4177.876,9.496e-08
4253.078,9.197e-08
4329.634,8.915e-08
4407.567,8.644e-08
4486.903,8.380e-08
4567.667,8.122e-08
4649.885,7.866e-08
4733.583,7.614e-08
4818.788,7.372e-08
4905.526,7.141e-08
4993.826,6.921e-08
5083.714,6.706e-08
5175.221,6.493e-08
5268.375,6.281e-08
5363.206,6.076e-08
5459.744,5.882e-08
5558.019,5.698e-08
5658.063,5.520e-08
5759.909,5.346e-08
5863.587,5.174e-08
5969.131,5.005e-08
6076.576,4.840e-08
6185.954,4.685e-08
6297.301,4.537e-08
6410.653,4.395e-08
6526.045,4.255e-08
6643.513,4.116e-08
6763.097,3.979e-08
6884.832,3.848e-08
7008.759,3.724e-08
7134.917,3.605e-08
7263.346,3.489e-08
7394.086,3.374e-08
7527.179,3.261e-08
7662.669,3.151e-08
7800.597,3.045e-08
7941.007,2.945e-08
8083.945,2.850e-08
8229.456,2.757e-08
8377.587,2.666e-08
8528.383,2.575e-08
8681.894,2.487e-08
8838.168,2.403e-08
8997.255,2.325e-08
9159.206,2.249e-08
9324.072,2.174e-08
9491.905,2.100e-08
9662.759,2.028e-08
9836.689,1.959e-08
10013.749,1.893e-08
10193.997,1.829e-08
10377.489,1.768e-08
10564.283,1.708e-08
10754.440,1.649e-08
10948.020,1.591e-08
11145.085,1.535e-08
11345.696,1.482e-08
11549.919,1.432e-08
11757.817,1.384e-08
11969.458,1.336e-08
12184.908,1.289e-08
12404.237,1.243e-08
12627.513,1.199e-08
12854.808,1.158e-08
13086.195,1.119e-08
13321.746,1.080e-08
13561.538,1.042e-08
13805.645,1.005e-08
14054.147,9.686e-09
14307.122,9.343e-09
14564.650,9.014e-09
14826.813,8.700e-09
15093.696,8.394e-09
15365.383,8.091e-09
15641.960,7.793e-09
15923.515,7.506e-09
16210.138,7.240e-09
16501.921,6.985e-09
16798.955,6.738e-09
17101.336,6.494e-09
17409.160,6.254e-09
17722.525,6.024e-09
18041.531,5.803e-09
18366.278,5.594e-09
18696.871,5.393e-09
19033.415,5.198e-09
19376.016,5.008e-09
19724.785,4.822e-09
20079.831,4.641e-09
20441.268,4.467e-09
20809.211,4.305e-09
21183.776,4.149e-09
21565.084,3.996e-09
21953.256,3.845e-09
22348.415,3.697e-09
22750.686,3.557e-09
23160.198,3.424e-09
23577.082,3.298e-09
24001.469,3.176e-09
24433.496,3.055e-09
24873.299,2.939e-09
25321.018,2.826e-09
25776.796,2.717e-09
26240.779,2.614e-09
26713.113,2.516e-09
27193.949,2.422e-09
27683.440,2.329e-09
28181.742,2.239e-09
28689.013,2.150e-09
29205.415,2.067e-09
29731.113,1.989e-09
30266.273,1.913e-09
