# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,3.401e-06
509.000,3.300e-06
518.162,3.202e-06
527.489,3.103e-06
536.984,3.005e-06
546.649,2.909e-06
556.489,2.818e-06
566.506,2.733e-06
576.703,2.652e-06
587.084,2.571e-06
597.651,2.491e-06
608.409,2.411e-06
619.360,2.336e-06
630.509,2.264e-06
641.858,2.197e-06
653.411,2.133e-06
665.173,2.069e-06
677.146,2.005e-06
689.334,1.943e-06
701.743,1.883e-06
714.374,1.826e-06
727.233,1.773e-06
740.323,1.721e-06
753.649,1.670e-06
767.214,1.619e-06
781.024,1.569e-06
795.083,1.521e-06
809.394,1.475e-06
823.963,1.432e-06
838.794,1.390e-06
853.893,1.348e-06
869.263,1.306e-06
884.910,1.266e-06
900.838,1.227e-06
917.053,1.191e-06
933.560,1.157e-06
950.364,1.123e-06
967.471,1.089e-06
984.885,1.056e-06
1002.613,1.024e-06
1020.660,9.936e-07
1039.032,9.650e-07
1057.735,9.374e-07
1076.774,9.101e-07
1096.156,8.828e-07
1115.886,8.561e-07
1135.972,8.302e-07
1156.420,8.056e-07
1177.235,7.821e-07
1198.426,7.593e-07
1219.997,7.367e-07
1241.957,7.142e-07
1264.313,6.922e-07
1287.070,6.713e-07
1310.237,6.518e-07
1333.822,6.331e-07
1357.831,6.148e-07
1382.271,5.966e-07
1407.152,5.785e-07
1432.481,5.611e-07
1458.266,5.446e-07
1484.515,5.289e-07
1511.236,5.137e-07
1538.438,4.989e-07
1566.130,4.841e-07
1594.320,4.695e-07
1623.018,4.553e-07
1652.232,4.417e-07
1681.973,4.289e-07
1712.248,4.164e-07
1743.069,4.041e-07
1774.444,3.919e-07
1806.384,3.798e-07
1838.899,3.684e-07
1871.999,3.576e-07
1905.695,3.472e-07
1939.997,3.371e-07
1974.917,3.271e-07
2010.466,3.172e-07
2046.654,3.076e-07
2083.494,2.984e-07
2120.997,2.897e-07
2159.175,2.813e-07
2198.040,2.731e-07
2237.605,2.650e-07
2277.882,2.570e-07
2318.883,2.492e-07
2360.623,2.417e-07
2403.115,2.346e-07
2446.371,2.277e-07
2490.405,2.209e-07
2535.233,2.142e-07
2580.867,2.075e-07
2627.322,2.011e-07
2674.614,1.951e-07
2722.757,1.893e-07
2771.767,1.838e-07
2821.659,1.783e-07
2872.448,1.728e-07
2924.153,1.674e-07
2976.787,1.624e-07
3030.369,1.575e-07
3084.916,1.529e-07
3140.445,1.484e-07
3196.973,1.439e-07
3254.518,1.395e-07
3313.099,1.352e-07
3372.735,1.310e-07
3433.444,1.270e-07
3495.246,1.232e-07
3558.161,1.195e-07
3622.208,1.158e-07
3687.408,1.121e-07
3753.781,1.086e-07
3821.349,1.052e-07
3890.133,1.020e-07
3960.156,9.897e-08
4031.438,9.595e-08
4104.004,9.295e-08
4177.876,9.000e-08
4253.078,8.717e-08
4329.634,8.450e-08
4407.567,8.193e-08
4486.903,7.943e-08
4567.667,7.698e-08
4649.885,7.456e-08
4733.583,7.218e-08
4818.788,6.989e-08
4905.526,6.770e-08
4993.826,6.561e-08
5083.714,6.358e-08
5175.221,6.156e-08
5268.375,5.955e-08
5363.206,5.761e-08
5459.744,5.577e-08
5558.019,5.403e-08
5658.063,5.234e-08
5759.909,5.069e-08
5863.587,4.907e-08
5969.131,4.747e-08
6076.576,4.590e-08
6185.954,4.444e-08
6297.301,4.304e-08
6410.653,4.169e-08
6526.045,4.036e-08
6643.513,3.905e-08
6763.097,3.775e-08
6884.832,3.651e-08
7008.759,3.534e-08
7134.917,3.421e-08
7263.346,3.310e-08
7394.086,3.202e-08
7527.179,3.095e-08
7662.669,2.990e-08
7800.597,2.890e-08
7941.007,2.796e-08
8083.945,2.705e-08
8229.456,2.617e-08
8377.587,2.531e-08
8528.383,2.445e-08
8681.894,2.361e-08
8838.168,2.282e-08
8997.255,2.208e-08
9159.206,2.136e-08
9324.072,2.065e-08
9491.905,1.995e-08
9662.759,1.927e-08
9836.689,1.861e-08
10013.749,1.798e-08
10193.997,1.738e-08
10377.489,1.680e-08
10564.283,1.623e-08
10754.440,1.567e-08
10948.020,1.512e-08
11145.085,1.459e-08
11345.696,1.409e-08
11549.919,1.362e-08
11757.817,1.316e-08
11969.458,1.270e-08
12184.908,1.225e-08
12404.237,1.182e-08
12627.513,1.140e-08
12854.808,1.102e-08
13086.195,1.064e-08
13321.746,1.027e-08
13561.538,9.911e-09
13805.645,9.558e-09
14054.147,9.217e-09
14307.122,8.891e-09
14564.650,8.580e-09
14826.813,8.281e-09
15093.696,7.991e-09
15365.383,7.703e-09
15641.960,7.420e-09
15923.515,7.148e-09
16210.138,6.895e-09
16501.921,6.653e-09
16798.955,6.418e-09
17101.336,6.187e-09
17409.160,5.959e-09
17722.525,5.740e-09
18041.531,5.530e-09
18366.278,5.331e-09
18696.871,5.141e-09
19033.415,4.955e-09
19376.016,4.775e-09
19724.785,4.598e-09
20079.831,4.426e-09
20441.268,4.261e-09
20809.211,4.106e-09
21183.776,3.958e-09
21565.084,3.813e-09
21953.256,3.669e-09
22348.415,3.528e-09
22750.686,3.395e-09
23160.198,3.269e-09
23577.082,3.149e-09
24001.469,3.032e-09
24433.496,2.918e-09
24873.299,2.807e-09
25321.018,2.700e-09
25776.796,2.596e-09
26240.779,2.498e-09
26713.113,2.405e-09
27193.949,2.315e-09
27683.440,2.227e-09
28181.742,2.141e-09
28689.013,2.057e-09
29205.415,1.977e-09
29731.113,1.903e-09
30266.273,1.831e-09
