# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,5.978e-05
509.000,5.804e-05
518.162,5.633e-05
527.489,5.462e-05
536.984,5.293e-05
546.649,5.129e-05
556.489,4.973e-05
566.506,4.826e-05
576.703,4.685e-05
587.084,4.544e-05
597.651,4.403e-05
608.409,4.265e-05
619.360,4.135e-05
630.509,4.012e-05
641.858,3.896e-05
653.411,3.783e-05
665.173,3.670e-05
677.146,3.558e-05
689.334,3.449e-05
701.743,3.346e-05
714.374,3.248e-05
727.233,3.154e-05
740.323,3.063e-05
753.649,2.972e-05
767.214,2.882e-05
781.024,2.794e-05
795.083,2.710e-05
809.394,2.632e-05
823.963,2.555e-05
838.794,2.480e-05
853.893,2.405e-05
869.263,2.331e-05
884.910,2.260e-05
900.838,2.193e-05
917.053,2.130e-05
933.560,2.068e-05
950.364,2.007e-05
967.471,1.947e-05
984.885,1.887e-05
1002.613,1.831e-05
1020.660,1.778e-05
1039.032,1.727e-05
1057.735,1.678e-05
1076.774,1.629e-05
1096.156,1.580e-05
1115.886,1.532e-05
1135.972,1.486e-05
1156.420,1.443e-05
1177.235,1.401e-05
1198.426,1.360e-05
1219.997,1.319e-05
1241.957,1.278e-05
1264.313,1.239e-05
1287.070,1.202e-05
1310.237,1.167e-05
1333.822,1.134e-05
1357.831,1.100e-05
1382.271,1.067e-05
1407.152,1.035e-05
1432.481,1.004e-05
1458.266,9.743e-06
1484.515,9.462e-06
1511.236,9.188e-06
1538.438,8.919e-06
1566.130,8.651e-06
1594.320,8.387e-06
1623.018,8.133e-06
1652.232,7.891e-06
1681.973,7.660e-06
1712.248,7.435e-06
1743.069,7.211e-06
1774.444,6.988e-06
1806.384,6.771e-06
1838.899,6.566e-06
1871.999,6.373e-06
1905.695,6.186e-06
1939.997,6.003e-06
1974.917,5.822e-06
2010.466,5.642e-06
2046.654,5.467e-06
2083.494,5.303e-06
2120.997,5.147e-06
2159.175,4.996e-06
2198.040,4.847e-06
2237.605,4.700e-06
2277.882,4.553e-06
2318.883,4.413e-06
2360.623,4.280e-06
2403.115,4.152e-06
2446.371,4.028e-06
2490.405,3.904e-06
2535.233,3.782e-06
2580.867,3.662e-06
2627.322,3.547e-06
2674.614,3.439e-06
2722.757,3.336e-06
2771.767,3.236e-06
2821.659,3.136e-06
2872.448,3.037e-06
2924.153,2.940e-06
2976.787,2.849e-06
3030.369,2.763e-06
3084.916,2.680e-06
3140.445,2.598e-06
3196.973,2.517e-06
3254.518,2.437e-06
3313.099,2.360e-06
3372.735,2.286e-06
3433.444,2.215e-06
3495.246,2.147e-06
3558.161,2.080e-06
3622.208,2.013e-06
3687.408,1.947e-06
3753.781,1.884e-06
3821.349,1.824e-06
3890.133,1.768e-06
3960.156,1.713e-06
4031.438,1.659e-06
4104.004,1.605e-06
4177.876,1.552e-06
4253.078,1.502e-06
4329.634,1.455e-06
4407.567,1.409e-06
4486.903,1.365e-06
4567.667,1.321e-06
4649.885,1.278e-06
4733.583,1.236e-06
4818.788,1.195e-06
4905.526,1.157e-06
4993.826,1.120e-06
5083.714,1.084e-06
5175.221,1.048e-06
5268.375,1.013e-06
5363.206,9.787e-07
5459.744,9.465e-07
5558.019,9.160e-07
5658.063,8.865e-07
5759.909,8.575e-07
5863.587,8.288e-07
5969.131,8.006e-07
6076.576,7.733e-07
6185.954,7.477e-07
6297.301,7.234e-07
6410.653,6.998e-07
6526.045,6.766e-07
6643.513,6.536e-07
6763.097,6.309e-07
6884.832,6.094e-07
7008.759,5.891e-07
7134.917,5.696e-07
7263.346,5.506e-07
7394.086,5.317e-07
7527.179,5.131e-07
7662.669,4.951e-07
7800.597,4.779e-07
7941.007,4.617e-07
8083.945,4.462e-07
8229.456,4.311e-07
8377.587,4.161e-07
8528.383,4.014e-07
8681.894,3.870e-07
8838.168,3.735e-07
8997.255,3.609e-07
9159.206,3.486e-07
9324.072,3.366e-07
9491.905,3.245e-07
9662.759,3.129e-07
9836.689,3.018e-07
10013.749,2.912e-07
10193.997,2.810e-07
10377.489,2.712e-07
10564.283,2.616e-07
10754.440,2.521e-07
10948.020,2.428e-07
11145.085,2.339e-07
11345.696,2.256e-07
11549.919,2.177e-07
11757.817,2.100e-07
11969.458,2.024e-07
12184.908,1.949e-07
12404.237,1.876e-07
12627.513,1.808e-07
12854.808,1.743e-07
13086.195,1.681e-07
13321.746,1.620e-07
13561.538,1.560e-07
13805.645,1.501e-07
14054.147,1.445e-07
14307.122,1.392e-07
14564.650,1.341e-07
14826.813,1.292e-07
15093.696,1.244e-07
15365.383,1.197e-07
15641.960,1.151e-07
15923.515,1.106e-07
16210.138,1.065e-07
16501.921,1.026e-07
16798.955,9.881e-08
17101.336,9.505e-08
17409.160,9.134e-08
17722.525,8.780e-08
18041.531,8.443e-08
18366.278,8.124e-08
18696.871,7.819e-08
19033.415,7.521e-08
19376.016,7.231e-08
19724.785,6.947e-08
20079.831,6.672e-08
20441.268,6.411e-08
20809.211,6.167e-08
21183.776,5.932e-08
21565.084,5.702e-08
21953.256,5.474e-08
22348.415,5.251e-08
22750.686,5.042e-08
23160.198,4.845e-08
23577.082,4.657e-08
24001.469,4.476e-08
24433.496,4.296e-08
24873.299,4.122e-08
25321.018,3.955e-08
25776.796,3.795e-08
26240.779,3.643e-08
26713.113,3.500e-08
27193.949,3.361e-08
27683.440,3.225e-08
28181.742,3.091e-08
28689.013,2.962e-08
29205.415,2.842e-08
29731.113,2.728e-08
30266.273,2.619e-08
