# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,8.286e-05
509.000,8.033e-05
518.162,7.788e-05
527.489,7.544e-05
536.984,7.300e-05
546.649,7.061e-05
556.489,6.832e-05
566.506,6.618e-05
576.703,6.416e-05
587.084,6.218e-05
597.651,6.021e-05
608.409,5.824e-05
619.360,5.634e-05
630.509,5.455e-05
641.858,5.288e-05
653.411,5.128e-05
665.173,4.971e-05
677.146,4.814e-05
689.334,4.659e-05
701.743,4.510e-05
714.374,4.369e-05
727.233,4.236e-05
740.323,4.109e-05
753.649,3.983e-05
767.214,3.858e-05
781.024,3.733e-05
795.083,3.614e-05
809.394,3.502e-05
823.963,3.396e-05
838.794,3.293e-05
853.893,3.191e-05
869.263,3.090e-05
884.910,2.990e-05
900.838,2.896e-05
917.053,2.807e-05
933.560,2.723e-05
950.364,2.641e-05
967.471,2.560e-05
984.885,2.478e-05
1002.613,2.400e-05
1020.660,2.326e-05
1039.032,2.256e-05
1057.735,2.189e-05
1076.774,2.123e-05
1096.156,2.058e-05
1115.886,1.993e-05
1135.972,1.931e-05
1156.420,1.871e-05
1177.235,1.814e-05
1198.426,1.760e-05
1219.997,1.706e-05
1241.957,1.653e-05
1264.313,1.600e-05
1287.070,1.550e-05
1310.237,1.503e-05
1333.822,1.458e-05
1357.831,1.415e-05
1382.271,1.372e-05
1407.152,1.329e-05
1432.481,1.288e-05
1458.266,1.248e-05
1484.515,1.211e-05
1511.236,1.175e-05
1538.438,1.140e-05
1566.130,1.105e-05
1594.320,1.071e-05
1623.018,1.038e-05
1652.232,1.005e-05
1681.973,9.751e-06
1712.248,9.461e-06
1743.069,9.176e-06
1774.444,8.893e-06
1806.384,8.614e-06
1838.899,8.346e-06
1871.999,8.091e-06
1905.695,7.849e-06
1939.997,7.615e-06
1974.917,7.387e-06
2010.466,7.160e-06
2046.654,6.937e-06
2083.494,6.723e-06
2120.997,6.519e-06
2159.175,6.326e-06
2198.040,6.139e-06
2237.605,5.955e-06
2277.882,5.771e-06
2318.883,5.593e-06
2360.623,5.420e-06
2403.115,5.256e-06
2446.371,5.098e-06
2490.405,4.945e-06
2535.233,4.793e-06
2580.867,4.643e-06
2627.322,4.497e-06
2674.614,4.358e-06
2722.757,4.226e-06
2771.767,4.100e-06
2821.659,3.977e-06
2872.448,3.855e-06
2924.153,3.734e-06
2976.787,3.619e-06
3030.369,3.509e-06
3084.916,3.404e-06
3140.445,3.302e-06
3196.973,3.203e-06
3254.518,3.105e-06
3313.099,3.008e-06
3372.735,2.914e-06
3433.444,2.824e-06
3495.246,2.738e-06
3558.161,2.656e-06
3622.208,2.574e-06
3687.408,2.493e-06
3753.781,2.414e-06
3821.349,2.338e-06
3890.133,2.267e-06
3960.156,2.198e-06
4031.438,2.132e-06
4104.004,2.066e-06
4177.876,2.001e-06
4253.078,1.938e-06
4329.634,1.878e-06
4407.567,1.820e-06
4486.903,1.765e-06
4567.667,1.711e-06
4649.885,1.658e-06
4733.583,1.606e-06
4818.788,1.555e-06
4905.526,1.506e-06
4993.826,1.460e-06
5083.714,1.415e-06
5175.221,1.371e-06
5268.375,1.327e-06
5363.206,1.285e-06
5459.744,1.244e-06
5558.019,1.205e-06
5658.063,1.168e-06
5759.909,1.131e-06
5863.587,1.096e-06
5969.131,1.061e-06
6076.576,1.027e-06
6185.954,9.944e-07
6297.301,9.633e-07
6410.653,9.334e-07
6526.045,9.044e-07
6643.513,8.759e-07
6763.097,8.476e-07
6884.832,8.203e-07
7008.759,7.942e-07
7134.917,7.691e-07
7263.346,7.448e-07
7394.086,7.211e-07
7527.179,6.977e-07
7662.669,6.749e-07
7800.597,6.528e-07
7941.007,6.318e-07
8083.945,6.118e-07
8229.456,5.924e-07
8377.587,5.735e-07
8528.383,5.548e-07
8681.894,5.364e-07
8838.168,5.189e-07
8997.255,5.024e-07
9159.206,4.864e-07
9324.072,4.708e-07
9491.905,4.555e-07
9662.759,4.406e-07
9836.689,4.261e-07
10013.749,4.121e-07
10193.997,3.987e-07
10377.489,3.857e-07
10564.283,3.732e-07
10754.440,3.608e-07
10948.020,3.487e-07
11145.085,3.370e-07
11345.696,3.258e-07
11549.919,3.152e-07
11757.817,3.049e-07
11969.458,2.949e-07
12184.908,2.850e-07
12404.237,2.753e-07
12627.513,2.661e-07
12854.808,2.573e-07
13086.195,2.489e-07
13321.746,2.407e-07
13561.538,2.327e-07
13805.645,2.248e-07
14054.147,2.172e-07
14307.122,2.099e-07
14564.650,2.028e-07
14826.813,1.960e-07
15093.696,1.895e-07
15365.383,1.830e-07
15641.960,1.767e-07
15923.515,1.706e-07
16210.138,1.648e-07
16501.921,1.592e-07
16798.955,1.539e-07
17101.336,1.486e-07
17409.160,1.435e-07
17722.525,1.386e-07
18041.531,1.338e-07
18366.278,1.292e-07
18696.871,1.248e-07
19033.415,1.205e-07
19376.016,1.164e-07
19724.785,1.124e-07
20079.831,1.085e-07
20441.268,1.047e-07
20809.211,1.010e-07
21183.776,9.758e-08
21565.084,9.420e-08
21953.256,9.090e-08
22348.415,8.765e-08
22750.686,8.455e-08
23160.198,8.158e-08
23577.082,7.874e-08
24001.469,7.600e-08
24433.496,7.333e-08
24873.299,7.073e-08
25321.018,6.822e-08
25776.796,6.578e-08
26240.779,6.344e-08
26713.113,6.122e-08
27193.949,5.907e-08
27683.440,5.698e-08
28181.742,5.495e-08
28689.013,5.296e-08
29205.415,5.106e-08
29731.113,4.925e-08
30266.273,4.750e-08
