# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,3.912e-05
509.000,3.798e-05
518.162,3.686e-05
527.489,3.573e-05
536.984,3.462e-05
546.649,3.354e-05
556.489,3.252e-05
566.506,3.155e-05
576.703,3.062e-05
587.084,2.970e-05
597.651,2.878e-05
608.409,2.787e-05
619.360,2.702e-05
630.509,2.621e-05
641.858,2.545e-05
653.411,2.471e-05
665.173,2.397e-05
677.146,2.323e-05
689.334,2.252e-05
701.743,2.184e-05
714.374,2.120e-05
727.233,2.059e-05
740.323,1.999e-05
753.649,1.939e-05
767.214,1.880e-05
781.024,1.823e-05
795.083,1.768e-05
809.394,1.716e-05
823.963,1.666e-05
838.794,1.617e-05
853.893,1.568e-05
869.263,1.520e-05
884.910,1.473e-05
900.838,1.429e-05
917.053,1.388e-05
933.560,1.348e-05
950.364,1.308e-05
967.471,1.269e-05
984.885,1.229e-05
1002.613,1.193e-05
1020.660,1.158e-05
1039.032,1.125e-05
1057.735,1.092e-05
1076.774,1.060e-05
1096.156,1.029e-05
1115.886,9.975e-06
1135.972,9.675e-06
1156.420,9.390e-06
1177.235,9.117e-06
1198.426,8.850e-06
1219.997,8.584e-06
1241.957,8.320e-06
1264.313,8.063e-06
1287.070,7.821e-06
1310.237,7.594e-06
1333.822,7.375e-06
1357.831,7.160e-06
1382.271,6.945e-06
1407.152,6.732e-06
1432.481,6.530e-06
1458.266,6.338e-06
1484.515,6.154e-06
1511.236,5.976e-06
1538.438,5.801e-06
1566.130,5.627e-06
1594.320,5.455e-06
1623.018,5.290e-06
1652.232,5.132e-06
1681.973,4.981e-06
1712.248,4.835e-06
1743.069,4.689e-06
1774.444,4.544e-06
1806.384,4.403e-06
1838.899,4.270e-06
1871.999,4.144e-06
1905.695,4.022e-06
1939.997,3.904e-06
1974.917,3.786e-06
2010.466,3.669e-06
2046.654,3.555e-06
2083.494,3.449e-06
2120.997,3.347e-06
2159.175,3.249e-06
2198.040,3.152e-06
2237.605,3.057e-06
2277.882,2.961e-06
2318.883,2.870e-06
2360.623,2.784e-06
2403.115,2.700e-06
2446.371,2.620e-06
2490.405,2.540e-06
2535.233,2.460e-06
2580.867,2.382e-06
2627.322,2.308e-06
2674.614,2.238e-06
2722.757,2.171e-06
2771.767,2.105e-06
2821.659,2.041e-06
2872.448,1.976e-06
2924.153,1.913e-06
2976.787,1.854e-06
3030.369,1.798e-06
3084.916,1.744e-06
3140.445,1.691e-06
3196.973,1.639e-06
3254.518,1.587e-06
3313.099,1.537e-06
3372.735,1.489e-06
3433.444,1.443e-06
3495.246,1.398e-06
3558.161,1.355e-06
3622.208,1.311e-06
3687.408,1.269e-06
3753.781,1.228e-06
3821.349,1.189e-06
3890.133,1.152e-06
3960.156,1.117e-06
4031.438,1.081e-06
4104.004,1.046e-06
4177.876,1.012e-06
4253.078,9.797e-07
4329.634,9.489e-07
4407.567,9.193e-07
4486.903,8.905e-07
4567.667,8.621e-07
4649.885,8.341e-07
4733.583,8.066e-07
4818.788,7.803e-07
4905.526,7.553e-07
4993.826,7.314e-07
5083.714,7.080e-07
5175.221,6.848e-07
5268.375,6.616e-07
5363.206,6.395e-07
5459.744,6.185e-07
5558.019,5.987e-07
5658.063,5.795e-07
5759.909,5.606e-07
5863.587,5.420e-07
5969.131,5.236e-07
6076.576,5.059e-07
6185.954,4.893e-07
6297.301,4.734e-07
6410.653,4.580e-07
6526.045,4.430e-07
6643.513,4.280e-07
6763.097,4.133e-07
6884.832,3.992e-07
7008.759,3.860e-07
7134.917,3.733e-07
7263.346,3.609e-07
7394.086,3.486e-07
7527.179,3.365e-07
7662.669,3.248e-07
7800.597,3.136e-07
7941.007,3.030e-07
8083.945,2.929e-07
8229.456,2.830e-07
8377.587,2.733e-07
8528.383,2.637e-07
8681.894,2.543e-07
8838.168,2.455e-07
8997.255,2.372e-07
9159.206,2.292e-07
9324.072,2.214e-07
9491.905,2.135e-07
9662.759,2.059e-07
9836.689,1.987e-07
10013.749,1.917e-07
10193.997,1.851e-07
10377.489,1.787e-07
10564.283,1.724e-07
10754.440,1.662e-07
10948.020,1.601e-07
11145.085,1.543e-07
11345.696,1.489e-07
11549.919,1.437e-07
11757.817,1.387e-07
11969.458,1.337e-07
12184.908,1.288e-07
12404.237,1.240e-07
12627.513,1.195e-07
12854.808,1.153e-07
13086.195,1.112e-07
13321.746,1.072e-07
13561.538,1.033e-07
13805.645,9.944e-08
14054.147,9.575e-08
14307.122,9.224e-08
14564.650,8.889e-08
14826.813,8.568e-08
15093.696,8.255e-08
15365.383,7.945e-08
15641.960,7.641e-08
15923.515,7.349e-08
16210.138,7.080e-08
16501.921,6.822e-08
16798.955,6.571e-08
17101.336,6.324e-08
17409.160,6.080e-08
17722.525,5.848e-08
18041.531,5.625e-08
18366.278,5.415e-08
18696.871,5.214e-08
19033.415,5.017e-08
19376.016,4.826e-08
19724.785,4.639e-08
20079.831,4.458e-08
20441.268,4.285e-08
20809.211,4.124e-08
21183.776,3.968e-08
21565.084,3.816e-08
21953.256,3.666e-08
22348.415,3.518e-08
22750.686,3.380e-08
23160.198,3.250e-08
23577.082,3.125e-08
24001.469,3.005e-08
24433.496,2.886e-08
24873.299,2.771e-08
25321.018,2.660e-08
25776.796,2.554e-08
26240.779,2.453e-08
26713.113,2.358e-08
27193.949,2.265e-08
27683.440,2.175e-08
28181.742,2.086e-08
28689.013,2.000e-08
29205.415,1.920e-08
29731.113,1.844e-08
30266.273,1.771e-08
