# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,1.724e-04
509.000,1.673e-04
518.162,1.623e-04
527.489,1.573e-04
536.984,1.524e-04
546.649,1.476e-04
556.489,1.430e-04
566.506,1.386e-04
576.703,1.345e-04
587.084,1.304e-04
597.651,1.264e-04
608.409,1.223e-04
619.360,1.185e-04
630.509,1.149e-04
641.858,1.115e-04
653.411,1.082e-04
665.173,1.050e-04
677.146,1.017e-04
689.334,9.853e-05
701.743,9.551e-05
714.374,9.264e-05
727.233,8.992e-05
740.323,8.729e-05
753.649,8.467e-05
767.214,8.206e-05
781.024,7.951e-05
795.083,7.707e-05
809.394,7.477e-05
823.963,7.257e-05
838.794,7.042e-05
853.893,6.827e-05
869.263,6.614e-05
884.910,6.408e-05
900.838,6.214e-05
917.053,6.030e-05
933.560,5.854e-05
950.364,5.681e-05
967.471,5.508e-05
984.885,5.337e-05
1002.613,5.175e-05
1020.660,5.021e-05
1039.032,4.875e-05
1057.735,4.734e-05
1076.774,4.594e-05
1096.156,4.455e-05
1115.886,4.319e-05
1135.972,4.187e-05
1156.420,4.062e-05
1177.235,3.942e-05
1198.426,3.826e-05
1219.997,3.710e-05
1241.957,3.596e-05
1264.313,3.484e-05
1287.070,3.378e-05
1310.237,3.278e-05
1333.822,3.183e-05
1357.831,3.089e-05
1382.271,2.996e-05
1407.152,2.904e-05
1432.481,2.816e-05
1458.266,2.732e-05
1484.515,2.652e-05
1511.236,2.575e-05
1538.438,2.499e-05
1566.130,2.424e-05
1594.320,2.349e-05
1623.018,2.277e-05
1652.232,2.209e-05
1681.973,2.143e-05
1712.248,2.080e-05
1743.069,2.018e-05
1774.444,1.955e-05
1806.384,1.894e-05
1838.899,1.837e-05
1871.999,1.782e-05
1905.695,1.729e-05
1939.997,1.678e-05
1974.917,1.627e-05
2010.466,1.577e-05
2046.654,1.528e-05
2083.494,1.482e-05
2120.997,1.438e-05
2159.175,1.396e-05
2198.040,1.354e-05
2237.605,1.313e-05
2277.882,1.273e-05
2318.883,1.233e-05
2360.623,1.196e-05
2403.115,1.160e-05
2446.371,1.125e-05
2490.405,1.091e-05
2535.233,1.057e-05
2580.867,1.024e-05
2627.322,9.918e-06
2674.614,9.614e-06
2722.757,9.325e-06
2771.767,9.045e-06
2821.659,8.770e-06
2872.448,8.496e-06
2924.153,8.226e-06
2976.787,7.972e-06
3030.369,7.731e-06
3084.916,7.499e-06
3140.445,7.272e-06
3196.973,7.049e-06
3254.518,6.828e-06
3313.099,6.613e-06
3372.735,6.406e-06
3433.444,6.208e-06
3495.246,6.018e-06
3558.161,5.832e-06
3622.208,5.648e-06
3687.408,5.466e-06
3753.781,5.290e-06
3821.349,5.123e-06
3890.133,4.966e-06
3960.156,4.814e-06
4031.438,4.664e-06
4104.004,4.515e-06
4177.876,4.369e-06
4253.078,4.229e-06
4329.634,4.097e-06
4407.567,3.970e-06
4486.903,3.847e-06
4567.667,3.726e-06
4649.885,3.606e-06
4733.583,3.489e-06
4818.788,3.376e-06
4905.526,3.269e-06
4993.826,3.166e-06
5083.714,3.066e-06
5175.221,2.967e-06
5268.375,2.869e-06
5363.206,2.774e-06
5459.744,2.684e-06
5558.019,2.598e-06
5658.063,2.516e-06
5759.909,2.435e-06
5863.587,2.356e-06
5969.131,2.277e-06
6076.576,2.201e-06
6185.954,2.130e-06
6297.301,2.061e-06
6410.653,1.995e-06
6526.045,1.931e-06
6643.513,1.867e-06
6763.097,1.804e-06
6884.832,1.744e-06
7008.759,1.687e-06
7134.917,1.632e-06
7263.346,1.578e-06
7394.086,1.526e-06
7527.179,1.474e-06
7662.669,1.424e-06
7800.597,1.375e-06
7941.007,1.330e-06
8083.945,1.286e-06
8229.456,1.243e-06
8377.587,1.202e-06
8528.383,1.160e-06
8681.894,1.120e-06
8838.168,1.082e-06
8997.255,1.046e-06
9159.206,1.011e-06
9324.072,9.775e-07
9491.905,9.438e-07
9662.759,9.110e-07
9836.689,8.796e-07
10013.749,8.495e-07
10193.997,8.207e-07
10377.489,7.928e-07
10564.283,7.655e-07
10754.440,7.387e-07
10948.020,7.125e-07
11145.085,6.872e-07
11345.696,6.634e-07
11549.919,6.408e-07
11757.817,6.189e-07
11969.458,5.973e-07
12184.908,5.759e-07
12404.237,5.552e-07
12627.513,5.356e-07
12854.808,5.171e-07
13086.195,4.992e-07
13321.746,4.818e-07
13561.538,4.646e-07
13805.645,4.479e-07
14054.147,4.318e-07
14307.122,4.163e-07
14564.650,4.016e-07
14826.813,3.875e-07
15093.696,3.737e-07
15365.383,3.601e-07
15641.960,3.468e-07
15923.515,3.339e-07
16210.138,3.220e-07
16501.921,3.106e-07
16798.955,2.995e-07
17101.336,2.886e-07
17409.160,2.779e-07
17722.525,2.676e-07
18041.531,2.577e-07
18366.278,2.484e-07
18696.871,2.394e-07
19033.415,2.307e-07
19376.016,2.222e-07
19724.785,2.139e-07
20079.831,2.059e-07
20441.268,1.981e-07
20809.211,1.909e-07
21183.776,1.839e-07
21565.084,1.771e-07
21953.256,1.704e-07
22348.415,1.638e-07
22750.686,1.576e-07
23160.198,1.517e-07
23577.082,1.461e-07
24001.469,1.407e-07
24433.496,1.353e-07
24873.299,1.301e-07
25321.018,1.252e-07
25776.796,1.203e-07
26240.779,1.158e-07
26713.113,1.114e-07
27193.949,1.072e-07
27683.440,1.031e-07
28181.742,9.911e-08
28689.013,9.521e-08
29205.415,9.154e-08
29731.113,8.807e-08
30266.273,8.471e-08
