# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,5.717e-04
509.000,5.551e-04
518.162,5.388e-04
527.489,5.224e-04
536.984,5.062e-04
546.649,4.905e-04
556.489,4.756e-04
566.506,4.616e-04
576.703,4.481e-04
587.084,4.346e-04
597.651,4.212e-04
608.409,4.079e-04
619.360,3.955e-04
630.509,3.838e-04
641.858,3.727e-04
653.411,3.618e-04
665.173,3.511e-04
677.146,3.403e-04
689.334,3.299e-04
701.743,3.200e-04
714.374,3.107e-04
727.233,3.017e-04
740.323,2.930e-04
753.649,2.843e-04
767.214,2.756e-04
781.024,2.673e-04
795.083,2.593e-04
809.394,2.517e-04
823.963,2.444e-04
838.794,2.372e-04
853.893,2.300e-04
869.263,2.229e-04
884.910,2.162e-04
900.838,2.098e-04
917.053,2.037e-04
933.560,1.978e-04
950.364,1.920e-04
967.471,1.862e-04
984.885,1.805e-04
1002.613,1.751e-04
1020.660,1.701e-04
1039.032,1.652e-04
1057.735,1.605e-04
1076.774,1.558e-04
1096.156,1.511e-04
1115.886,1.465e-04
1135.972,1.421e-04
1156.420,1.380e-04
1177.235,1.340e-04
1198.426,1.300e-04
1219.997,1.261e-04
1241.957,1.222e-04
1264.313,1.185e-04
1287.070,1.149e-04
1310.237,1.116e-04
1333.822,1.084e-04
1357.831,1.052e-04
1382.271,1.021e-04
1407.152,9.895e-05
1432.481,9.598e-05
1458.266,9.317e-05
1484.515,9.047e-05
1511.236,8.785e-05
1538.438,8.527e-05
1566.130,8.271e-05
1594.320,8.018e-05
1623.018,7.776e-05
1652.232,7.544e-05
1681.973,7.323e-05
1712.248,7.108e-05
1743.069,6.893e-05
1774.444,6.680e-05
1806.384,6.472e-05
1838.899,6.276e-05
1871.999,6.091e-05
1905.695,5.913e-05
1939.997,5.738e-05
1974.917,5.564e-05
2010.466,5.392e-05
2046.654,5.225e-05
2083.494,5.068e-05
2120.997,4.919e-05
2159.175,4.774e-05
2198.040,4.632e-05
2237.605,4.491e-05
2277.882,4.351e-05
2318.883,4.217e-05
2360.623,4.089e-05
2403.115,3.967e-05
2446.371,3.848e-05
2490.405,3.730e-05
2535.233,3.613e-05
2580.867,3.498e-05
2627.322,3.389e-05
2674.614,3.285e-05
2722.757,3.187e-05
2771.767,3.090e-05
2821.659,2.995e-05
2872.448,2.900e-05
2924.153,2.807e-05
2976.787,2.720e-05
3030.369,2.638e-05
3084.916,2.559e-05
3140.445,2.481e-05
3196.973,2.403e-05
3254.518,2.327e-05
3313.099,2.253e-05
3372.735,2.182e-05
3433.444,2.115e-05
3495.246,2.050e-05
3558.161,1.985e-05
3622.208,1.922e-05
3687.408,1.859e-05
3753.781,1.798e-05
3821.349,1.741e-05
3890.133,1.687e-05
3960.156,1.635e-05
4031.438,1.583e-05
4104.004,1.532e-05
4177.876,1.481e-05
4253.078,1.433e-05
4329.634,1.388e-05
4407.567,1.345e-05
4486.903,1.302e-05
4567.667,1.261e-05
4649.885,1.219e-05
4733.583,1.179e-05
4818.788,1.140e-05
4905.526,1.103e-05
4993.826,1.068e-05
5083.714,1.034e-05
5175.221,9.998e-06
5268.375,9.658e-06
5363.206,9.333e-06
5459.744,9.026e-06
5558.019,8.735e-06
5658.063,8.453e-06
5759.909,8.175e-06
5863.587,7.901e-06
5969.131,7.632e-06
6076.576,7.372e-06
6185.954,7.128e-06
6297.301,6.895e-06
6410.653,6.670e-06
6526.045,6.449e-06
6643.513,6.229e-06
6763.097,6.013e-06
6884.832,5.807e-06
7008.759,5.614e-06
7134.917,5.428e-06
7263.346,5.246e-06
7394.086,5.066e-06
7527.179,4.888e-06
7662.669,4.717e-06
7800.597,4.553e-06
7941.007,4.398e-06
8083.945,4.250e-06
8229.456,4.106e-06
8377.587,3.963e-06
8528.383,3.822e-06
8681.894,3.685e-06
8838.168,3.556e-06
8997.255,3.436e-06
9159.206,3.320e-06
9324.072,3.204e-06
9491.905,3.090e-06
9662.759,2.979e-06
9836.689,2.873e-06
10013.749,2.772e-06
10193.997,2.675e-06
10377.489,2.582e-06
10564.283,2.490e-06
10754.440,2.399e-06
10948.020,2.311e-06
11145.085,2.226e-06
11345.696,2.146e-06
11549.919,2.072e-06
11757.817,1.998e-06
11969.458,1.926e-06
12184.908,1.854e-06
12404.237,1.784e-06
12627.513,1.719e-06
12854.808,1.658e-06
13086.195,1.599e-06
13321.746,1.541e-06
13561.538,1.483e-06
13805.645,1.428e-06
14054.147,1.374e-06
14307.122,1.323e-06
14564.650,1.275e-06
14826.813,1.228e-06
15093.696,1.183e-06
15365.383,1.138e-06
15641.960,1.094e-06
15923.515,1.051e-06
16210.138,1.012e-06
16501.921,9.753e-07
16798.955,9.390e-07
17101.336,9.032e-07
17409.160,8.679e-07
17722.525,8.342e-07
18041.531,8.021e-07
18366.278,7.718e-07
18696.871,7.428e-07
19033.415,7.144e-07
19376.016,6.869e-07
19724.785,6.598e-07
20079.831,6.337e-07
20441.268,6.088e-07
20809.211,5.856e-07
21183.776,5.633e-07
21565.084,5.414e-07
21953.256,5.197e-07
22348.415,4.985e-07
22750.686,4.787e-07
23160.198,4.599e-07
23577.082,4.421e-07
24001.469,4.248e-07
24433.496,4.078e-07
24873.299,3.912e-07
25321.018,3.753e-07
25776.796,3.601e-07
26240.779,3.457e-07
26713.113,3.321e-07
27193.949,3.188e-07
27683.440,3.059e-07
28181.742,2.932e-07
28689.013,2.810e-07
29205.415,2.695e-07
29731.113,2.587e-07
30266.273,2.483e-07
