# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,7.102e-05
509.000,6.884e-05
518.162,6.673e-05
527.489,6.462e-05
536.984,6.252e-05
546.649,6.044e-05
556.489,5.845e-05
566.506,5.660e-05
576.703,5.486e-05
587.084,5.316e-05
597.651,5.147e-05
608.409,4.977e-05
619.360,4.813e-05
630.509,4.658e-05
641.858,4.513e-05
653.411,4.376e-05
665.173,4.241e-05
677.146,4.106e-05
689.334,3.973e-05
701.743,3.843e-05
714.374,3.721e-05
727.233,3.607e-05
740.323,3.498e-05
753.649,3.390e-05
767.214,3.282e-05
781.024,3.176e-05
795.083,3.073e-05
809.394,2.976e-05
823.963,2.885e-05
838.794,2.797e-05
853.893,2.710e-05
869.263,2.623e-05
884.910,2.538e-05
900.838,2.457e-05
917.053,2.380e-05
933.560,2.308e-05
950.364,2.238e-05
967.471,2.169e-05
984.885,2.099e-05
1002.613,2.032e-05
1020.660,1.968e-05
1039.032,1.908e-05
1057.735,1.851e-05
1076.774,1.796e-05
1096.156,1.740e-05
1115.886,1.685e-05
1135.972,1.631e-05
1156.420,1.580e-05
1177.235,1.532e-05
1198.426,1.485e-05
1219.997,1.440e-05
1241.957,1.395e-05
1264.313,1.350e-05
1287.070,1.307e-05
1310.237,1.267e-05
1333.822,1.229e-05
1357.831,1.192e-05
1382.271,1.156e-05
1407.152,1.120e-05
1432.481,1.084e-05
1458.266,1.051e-05
1484.515,1.019e-05
1511.236,9.882e-06
1538.438,9.588e-06
1566.130,9.298e-06
1594.320,9.008e-06
1623.018,8.724e-06
1652.232,8.450e-06
1681.973,8.193e-06
1712.248,7.948e-06
1743.069,7.709e-06
1774.444,7.471e-06
1806.384,7.235e-06
1838.899,7.008e-06
1871.999,6.792e-06
1905.695,6.587e-06
1939.997,6.391e-06
1974.917,6.199e-06
2010.466,6.008e-06
2046.654,5.820e-06
2083.494,5.640e-06
2120.997,5.467e-06
2159.175,5.304e-06
2198.040,5.148e-06
2237.605,4.994e-06
2277.882,4.840e-06
2318.883,4.689e-06
2360.623,4.544e-06
2403.115,4.405e-06
2446.371,4.273e-06
2490.405,4.144e-06
2535.233,4.018e-06
2580.867,3.892e-06
2627.322,3.770e-06
2674.614,3.653e-06
2722.757,3.542e-06
2771.767,3.436e-06
2821.659,3.334e-06
2872.448,3.232e-06
2924.153,3.131e-06
2976.787,3.034e-06
3030.369,2.942e-06
3084.916,2.853e-06
3140.445,2.768e-06
3196.973,2.685e-06
3254.518,2.603e-06
3313.099,2.523e-06
3372.735,2.444e-06
3433.444,2.368e-06
3495.246,2.296e-06
3558.161,2.227e-06
3622.208,2.159e-06
3687.408,2.092e-06
3753.781,2.026e-06
3821.349,1.962e-06
3890.133,1.903e-06
3960.156,1.845e-06
4031.438,1.790e-06
4104.004,1.735e-06
4177.876,1.681e-06
4253.078,1.628e-06
4329.634,1.578e-06
4407.567,1.530e-06
4486.903,1.484e-06
4567.667,1.439e-06
4649.885,1.395e-06
4733.583,1.351e-06
4818.788,1.309e-06
4905.526,1.268e-06
4993.826,1.229e-06
5083.714,1.191e-06
5175.221,1.155e-06
5268.375,1.118e-06
5363.206,1.083e-06
5459.744,1.048e-06
5558.019,1.016e-06
5658.063,9.846e-07
5759.909,9.544e-07
5863.587,9.249e-07
5969.131,8.958e-07
6076.576,8.672e-07
6185.954,8.400e-07
6297.301,8.140e-07
6410.653,7.890e-07
6526.045,7.648e-07
6643.513,7.410e-07
6763.097,7.174e-07
6884.832,6.946e-07
7008.759,6.727e-07
7134.917,6.516e-07
7263.346,6.312e-07
7394.086,6.114e-07
7527.179,5.919e-07
7662.669,5.728e-07
7800.597,5.543e-07
7941.007,5.367e-07
8083.945,5.198e-07
8229.456,5.036e-07
8377.587,4.877e-07
8528.383,4.721e-07
8681.894,4.567e-07
8838.168,4.420e-07
8997.255,4.281e-07
9159.206,4.146e-07
9324.072,4.016e-07
9491.905,3.887e-07
9662.759,3.762e-07
9836.689,3.640e-07
10013.749,3.523e-07
10193.997,3.409e-07
10377.489,3.300e-07
10564.283,3.194e-07
10754.440,3.091e-07
10948.020,2.989e-07
11145.085,2.890e-07
11345.696,2.795e-07
11549.919,2.705e-07
11757.817,2.619e-07
11969.458,2.534e-07
12184.908,2.451e-07
12404.237,2.369e-07
12627.513,2.291e-07
12854.808,2.217e-07
13086.195,2.145e-07
13321.746,2.076e-07
13561.538,2.008e-07
13805.645,1.942e-07
14054.147,1.877e-07
14307.122,1.815e-07
14564.650,1.755e-07
14826.813,1.697e-07
15093.696,1.642e-07
15365.383,1.587e-07
15641.960,1.533e-07
15923.515,1.481e-07
16210.138,1.431e-07
16501.921,1.384e-07
16798.955,1.338e-07
17101.336,1.294e-07
17409.160,1.250e-07
17722.525,1.208e-07
18041.531,1.167e-07
18366.278,1.128e-07
18696.871,1.090e-07
19033.415,1.054e-07
19376.016,1.018e-07
19724.785,9.840e-08
20079.831,9.503e-08
20441.268,9.176e-08
20809.211,8.866e-08
21183.776,8.567e-08
21565.084,8.277e-08
21953.256,7.993e-08
22348.415,7.714e-08
22750.686,7.447e-08
23160.198,7.190e-08
23577.082,6.945e-08
24001.469,6.708e-08
24433.496,6.477e-08
24873.299,6.253e-08
25321.018,6.036e-08
25776.796,5.825e-08
26240.779,5.622e-08
26713.113,5.429e-08
27193.949,5.242e-08
27683.440,5.061e-08
28181.742,4.885e-08
28689.013,4.712e-08
29205.415,4.547e-08
29731.113,4.389e-08
30266.273,4.236e-08
