# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,1.985e-05
509.000,1.926e-05
518.162,1.869e-05
527.489,1.812e-05
536.984,1.754e-05
546.649,1.699e-05
556.489,1.646e-05
566.506,1.597e-05
576.703,1.549e-05
587.084,1.502e-05
597.651,1.455e-05
608.409,1.409e-05
619.360,1.365e-05
630.509,1.323e-05
641.858,1.284e-05
653.411,1.246e-05
665.173,1.209e-05
677.146,1.172e-05
689.334,1.135e-05
701.743,1.100e-05
714.374,1.067e-05
727.233,1.036e-05
740.323,1.006e-05
753.649,9.758e-06
767.214,9.458e-06
781.024,9.164e-06
795.083,8.884e-06
809.394,8.620e-06
823.963,8.367e-06
838.794,8.119e-06
853.893,7.872e-06
869.263,7.627e-06
884.910,7.390e-06
900.838,7.167e-06
917.053,6.956e-06
933.560,6.753e-06
950.364,6.553e-06
967.471,6.355e-06
984.885,6.158e-06
1002.613,5.971e-06
1020.660,5.794e-06
1039.032,5.626e-06
1057.735,5.464e-06
1076.774,5.303e-06
1096.156,5.143e-06
1115.886,4.986e-06
1135.972,4.835e-06
1156.420,4.690e-06
1177.235,4.553e-06
1198.426,4.419e-06
1219.997,4.286e-06
1241.957,4.154e-06
1264.313,4.025e-06
1287.070,3.903e-06
1310.237,3.788e-06
1333.822,3.678e-06
1357.831,3.570e-06
1382.271,3.463e-06
1407.152,3.357e-06
1432.481,3.256e-06
1458.266,3.159e-06
1484.515,3.067e-06
1511.236,2.977e-06
1538.438,2.890e-06
1566.130,2.804e-06
1594.320,2.718e-06
1623.018,2.635e-06
1652.232,2.556e-06
1681.973,2.480e-06
1712.248,2.407e-06
1743.069,2.335e-06
1774.444,2.263e-06
1806.384,2.193e-06
1838.899,2.126e-06
1871.999,2.063e-06
1905.695,2.002e-06
1939.997,1.943e-06
1974.917,1.885e-06
2010.466,1.827e-06
2046.654,1.771e-06
2083.494,1.717e-06
2120.997,1.666e-06
2159.175,1.617e-06
2198.040,1.570e-06
2237.605,1.522e-06
2277.882,1.475e-06
2318.883,1.430e-06
2360.623,1.387e-06
2403.115,1.345e-06
2446.371,1.305e-06
2490.405,1.265e-06
2535.233,1.226e-06
2580.867,1.188e-06
2627.322,1.151e-06
2674.614,1.115e-06
2722.757,1.082e-06
2771.767,1.050e-06
2821.659,1.018e-06
2872.448,9.861e-07
2924.153,9.548e-07
2976.787,9.254e-07
3030.369,8.975e-07
3084.916,8.707e-07
3140.445,8.444e-07
3196.973,8.185e-07
3254.518,7.929e-07
3313.099,7.680e-07
3372.735,7.441e-07
3433.444,7.212e-07
3495.246,6.991e-07
3558.161,6.776e-07
3622.208,6.563e-07
3687.408,6.352e-07
3753.781,6.147e-07
3821.349,5.954e-07
3890.133,5.772e-07
3960.156,5.595e-07
4031.438,5.421e-07
4104.004,5.249e-07
4177.876,5.079e-07
4253.078,4.917e-07
4329.634,4.764e-07
4407.567,4.617e-07
4486.903,4.474e-07
4567.667,4.333e-07
4649.885,4.195e-07
4733.583,4.058e-07
4818.788,3.928e-07
4905.526,3.803e-07
4993.826,3.684e-07
5083.714,3.568e-07
5175.221,3.452e-07
5268.375,3.338e-07
5363.206,3.228e-07
5459.744,3.123e-07
5558.019,3.024e-07
5658.063,2.928e-07
5759.909,2.834e-07
5863.587,2.742e-07
5969.131,2.651e-07
6076.576,2.562e-07
6185.954,2.479e-07
6297.301,2.400e-07
6410.653,2.323e-07
6526.045,2.248e-07
6643.513,2.174e-07
6763.097,2.101e-07
6884.832,2.031e-07
7008.759,1.964e-07
7134.917,1.900e-07
7263.346,1.838e-07
7394.086,1.777e-07
7527.179,1.717e-07
7662.669,1.658e-07
7800.597,1.602e-07
7941.007,1.549e-07
8083.945,1.498e-07
8229.456,1.448e-07
8377.587,1.400e-07
8528.383,1.351e-07
8681.894,1.304e-07
8838.168,1.260e-07
8997.255,1.219e-07
9159.206,1.178e-07
9324.072,1.139e-07
9491.905,1.099e-07
9662.759,1.061e-07
9836.689,1.025e-07
10013.749,9.895e-08
10193.997,9.560e-08
10377.489,9.235e-08
10564.283,8.918e-08
10754.440,8.605e-08
10948.020,8.299e-08
11145.085,8.005e-08
11345.696,7.727e-08
11549.919,7.465e-08
11757.817,7.209e-08
11969.458,6.957e-08
12184.908,6.708e-08
12404.237,6.466e-08
12627.513,6.238e-08
12854.808,6.022e-08
13086.195,5.814e-08
13321.746,5.610e-08
13561.538,5.411e-08
13805.645,5.216e-08
14054.147,5.028e-08
14307.122,4.848e-08
14564.650,4.676e-08
14826.813,4.511e-08
15093.696,4.351e-08
15365.383,4.192e-08
15641.960,4.037e-08
15923.515,3.887e-08
16210.138,3.748e-08
16501.921,3.615e-08
16798.955,3.486e-08
17101.336,3.359e-08
17409.160,3.234e-08
17722.525,3.114e-08
18041.531,2.999e-08
18366.278,2.890e-08
18696.871,2.785e-08
19033.415,2.684e-08
19376.016,2.585e-08
19724.785,2.488e-08
20079.831,2.394e-08
20441.268,2.304e-08
20809.211,2.220e-08
21183.776,2.139e-08
21565.084,2.059e-08
21953.256,1.981e-08
22348.415,1.904e-08
22750.686,1.832e-08
23160.198,1.763e-08
23577.082,1.698e-08
24001.469,1.634e-08
24433.496,1.572e-08
24873.299,1.512e-08
25321.018,1.454e-08
25776.796,1.397e-08
26240.779,1.344e-08
26713.113,1.294e-08
27193.949,1.245e-08
27683.440,1.197e-08
28181.742,1.150e-08
28689.013,1.105e-08
29205.415,1.062e-08
29731.113,1.022e-08
30266.273,9.825e-09
