# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,1.284e-04
509.000,1.245e-04
518.162,1.208e-04
527.489,1.171e-04
536.984,1.133e-04
546.649,1.097e-04
556.489,1.062e-04
566.506,1.030e-04
576.703,9.990e-05
587.084,9.686e-05
597.651,9.382e-05
608.409,9.080e-05
619.360,8.792e-05
630.509,8.521e-05
641.858,8.266e-05
653.411,8.021e-05
665.173,7.778e-05
677.146,7.536e-05
689.334,7.298e-05
701.743,7.071e-05
714.374,6.856e-05
727.233,6.653e-05
740.323,6.457e-05
753.649,6.262e-05
767.214,6.067e-05
781.024,5.877e-05
795.083,5.694e-05
809.394,5.522e-05
823.963,5.359e-05
838.794,5.199e-05
853.893,5.039e-05
869.263,4.881e-05
884.910,4.728e-05
900.838,4.583e-05
917.053,4.446e-05
933.560,4.315e-05
950.364,4.186e-05
967.471,4.059e-05
984.885,3.932e-05
1002.613,3.811e-05
1020.660,3.696e-05
1039.032,3.588e-05
1057.735,3.483e-05
1076.774,3.380e-05
1096.156,3.277e-05
1115.886,3.176e-05
1135.972,3.078e-05
1156.420,2.985e-05
1177.235,2.897e-05
1198.426,2.811e-05
1219.997,2.726e-05
1241.957,2.641e-05
1264.313,2.558e-05
1287.070,2.480e-05
1310.237,2.406e-05
1333.822,2.335e-05
1357.831,2.267e-05
1382.271,2.198e-05
1407.152,2.131e-05
1432.481,2.065e-05
1458.266,2.003e-05
1484.515,1.944e-05
1511.236,1.887e-05
1538.438,1.832e-05
1566.130,1.776e-05
1594.320,1.722e-05
1623.018,1.669e-05
1652.232,1.618e-05
1681.973,1.570e-05
1712.248,1.524e-05
1743.069,1.478e-05
1774.444,1.432e-05
1806.384,1.387e-05
1838.899,1.345e-05
1871.999,1.304e-05
1905.695,1.266e-05
1939.997,1.228e-05
1974.917,1.191e-05
2010.466,1.155e-05
2046.654,1.119e-05
2083.494,1.085e-05
2120.997,1.052e-05
2159.175,1.021e-05
2198.040,9.912e-06
2237.605,9.613e-06
2277.882,9.316e-06
2318.883,9.028e-06
2360.623,8.752e-06
2403.115,8.489e-06
2446.371,8.235e-06
2490.405,7.986e-06
2535.233,7.739e-06
2580.867,7.495e-06
2627.322,7.261e-06
2674.614,7.038e-06
2722.757,6.826e-06
2771.767,6.622e-06
2821.659,6.421e-06
2872.448,6.222e-06
2924.153,6.025e-06
2976.787,5.839e-06
3030.369,5.663e-06
3084.916,5.493e-06
3140.445,5.327e-06
3196.973,5.165e-06
3254.518,5.004e-06
3313.099,4.847e-06
3372.735,4.696e-06
3433.444,4.551e-06
3495.246,4.412e-06
3558.161,4.276e-06
3622.208,4.143e-06
3687.408,4.010e-06
3753.781,3.881e-06
3821.349,3.760e-06
3890.133,3.645e-06
3960.156,3.533e-06
4031.438,3.424e-06
4104.004,3.316e-06
4177.876,3.210e-06
4253.078,3.108e-06
4329.634,3.011e-06
4407.567,2.918e-06
4486.903,2.828e-06
4567.667,2.740e-06
4649.885,2.653e-06
4733.583,2.568e-06
4818.788,2.485e-06
4905.526,2.407e-06
4993.826,2.332e-06
5083.714,2.259e-06
5175.221,2.186e-06
5268.375,2.115e-06
5363.206,2.045e-06
5459.744,1.979e-06
5558.019,1.917e-06
5658.063,1.856e-06
5759.909,1.798e-06
5863.587,1.740e-06
5969.131,1.683e-06
6076.576,1.627e-06
6185.954,1.575e-06
6297.301,1.525e-06
6410.653,1.476e-06
6526.045,1.429e-06
6643.513,1.383e-06
6763.097,1.337e-06
6884.832,1.292e-06
7008.759,1.251e-06
7134.917,1.210e-06
7263.346,1.171e-06
7394.086,1.133e-06
7527.179,1.095e-06
7662.669,1.058e-06
7800.597,1.022e-06
7941.007,9.887e-07
8083.945,9.566e-07
8229.456,9.254e-07
8377.587,8.947e-07
8528.383,8.645e-07
8681.894,8.349e-07
8838.168,8.069e-07
8997.255,7.805e-07
9159.206,7.550e-07
9324.072,7.300e-07
9491.905,7.053e-07
9662.759,6.813e-07
9836.689,6.581e-07
10013.749,6.359e-07
10193.997,6.146e-07
10377.489,5.941e-07
10564.283,5.740e-07
10754.440,5.542e-07
10948.020,5.349e-07
11145.085,5.163e-07
11345.696,4.986e-07
11549.919,4.819e-07
11757.817,4.657e-07
11969.458,4.497e-07
12184.908,4.339e-07
12404.237,4.186e-07
12627.513,4.041e-07
12854.808,3.903e-07
13086.195,3.771e-07
13321.746,3.641e-07
13561.538,3.514e-07
13805.645,3.391e-07
14054.147,3.271e-07
14307.122,3.156e-07
14564.650,3.046e-07
14826.813,2.941e-07
15093.696,2.838e-07
15365.383,2.737e-07
15641.960,2.638e-07
15923.515,2.542e-07
16210.138,2.453e-07
16501.921,2.368e-07
16798.955,2.285e-07
17101.336,2.203e-07
17409.160,2.123e-07
17722.525,2.047e-07
18041.531,1.973e-07
18366.278,1.903e-07
18696.871,1.835e-07
19033.415,1.770e-07
19376.016,1.706e-07
19724.785,1.644e-07
20079.831,1.584e-07
20441.268,1.526e-07
20809.211,1.471e-07
21183.776,1.418e-07
21565.084,1.367e-07
21953.256,1.316e-07
22348.415,1.267e-07
22750.686,1.220e-07
23160.198,1.175e-07
23577.082,1.133e-07
24001.469,1.091e-07
24433.496,1.051e-07
24873.299,1.012e-07
25321.018,9.739e-08
25776.796,9.374e-08
26240.779,9.025e-08
26713.113,8.695e-08
27193.949,8.375e-08
27683.440,8.063e-08
28181.742,7.758e-08
28689.013,7.461e-08
29205.415,7.180e-08
29731.113,6.914e-08
30266.273,6.657e-08
