# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,5.729e-05
509.000,5.550e-05
518.162,5.378e-05
527.489,5.207e-05
536.984,5.035e-05
546.649,4.864e-05
556.489,4.701e-05
566.506,4.549e-05
576.703,4.407e-05
587.084,4.270e-05
597.651,4.132e-05
608.409,3.994e-05
619.360,3.859e-05
630.509,3.732e-05
641.858,3.614e-05
653.411,3.502e-05
665.173,3.393e-05
677.146,3.284e-05
689.334,3.175e-05
701.743,3.070e-05
714.374,2.970e-05
727.233,2.877e-05
740.323,2.788e-05
753.649,2.702e-05
767.214,2.614e-05
781.024,2.528e-05
795.083,2.443e-05
809.394,2.365e-05
823.963,2.292e-05
838.794,2.221e-05
853.893,2.151e-05
869.263,2.081e-05
884.910,2.012e-05
900.838,1.946e-05
917.053,1.884e-05
933.560,1.826e-05
950.364,1.770e-05
967.471,1.714e-05
984.885,1.659e-05
1002.613,1.604e-05
1020.660,1.552e-05
1039.032,1.504e-05
1057.735,1.459e-05
1076.774,1.414e-05
1096.156,1.370e-05
1115.886,1.326e-05
1135.972,1.282e-05
1156.420,1.241e-05
1177.235,1.202e-05
1198.426,1.166e-05
1219.997,1.130e-05
1241.957,1.094e-05
1264.313,1.058e-05
1287.070,1.024e-05
1310.237,9.912e-06
1333.822,9.610e-06
1357.831,9.321e-06
1382.271,9.035e-06
1407.152,8.750e-06
1432.481,8.470e-06
1458.266,8.200e-06
1484.515,7.944e-06
1511.236,7.704e-06
1538.438,7.472e-06
1566.130,7.244e-06
1594.320,7.016e-06
1623.018,6.790e-06
1652.232,6.572e-06
1681.973,6.369e-06
1712.248,6.177e-06
1743.069,5.990e-06
1774.444,5.805e-06
1806.384,5.620e-06
1838.899,5.440e-06
1871.999,5.270e-06
1905.695,5.108e-06
1939.997,4.955e-06
1974.917,4.806e-06
2010.466,4.658e-06
2046.654,4.511e-06
2083.494,4.368e-06
2120.997,4.232e-06
2159.175,4.105e-06
2198.040,3.983e-06
2237.605,3.864e-06
2277.882,3.745e-06
2318.883,3.627e-06
2360.623,3.513e-06
2403.115,3.405e-06
2446.371,3.302e-06
2490.405,3.203e-06
2535.233,3.105e-06
2580.867,3.008e-06
2627.322,2.913e-06
2674.614,2.821e-06
2722.757,2.735e-06
2771.767,2.653e-06
2821.659,2.574e-06
2872.448,2.496e-06
2924.153,2.418e-06
2976.787,2.343e-06
3030.369,2.271e-06
3084.916,2.203e-06
3140.445,2.137e-06
3196.973,2.074e-06
3254.518,2.011e-06
3313.099,1.948e-06
3372.735,1.888e-06
3433.444,1.829e-06
3495.246,1.773e-06
3558.161,1.720e-06
3622.208,1.668e-06
3687.408,1.617e-06
3753.781,1.566e-06
3821.349,1.517e-06
3890.133,1.471e-06
3960.156,1.427e-06
4031.438,1.384e-06
4104.004,1.342e-06
4177.876,1.301e-06
4253.078,1.260e-06
4329.634,1.222e-06
4407.567,1.184e-06
4486.903,1.149e-06
4567.667,1.115e-06
4649.885,1.081e-06
4733.583,1.048e-06
4818.788,1.015e-06
4905.526,9.836e-07
4993.826,9.536e-07
5083.714,9.249e-07
5175.221,8.969e-07
5268.375,8.691e-07
5363.206,8.419e-07
5459.744,8.155e-07
5558.019,7.903e-07
5658.063,7.662e-07
5759.909,7.431e-07
5863.587,7.207e-07
5969.131,6.985e-07
6076.576,6.765e-07
6185.954,6.556e-07
6297.301,6.355e-07
6410.653,6.163e-07
6526.045,5.978e-07
6643.513,5.796e-07
6763.097,5.616e-07
6884.832,5.441e-07
7008.759,5.271e-07
7134.917,5.108e-07
7263.346,4.952e-07
7394.086,4.800e-07
7527.179,4.651e-07
7662.669,4.504e-07
7800.597,4.361e-07
7941.007,4.225e-07
8083.945,4.094e-07
8229.456,3.969e-07
8377.587,3.848e-07
8528.383,3.728e-07
8681.894,3.609e-07
8838.168,3.496e-07
8997.255,3.388e-07
9159.206,3.283e-07
9324.072,3.183e-07
9491.905,3.084e-07
9662.759,2.988e-07
9836.689,2.894e-07
10013.749,2.802e-07
10193.997,2.714e-07
10377.489,2.629e-07
10564.283,2.547e-07
10754.440,2.467e-07
10948.020,2.388e-07
11145.085,2.311e-07
11345.696,2.237e-07
11549.919,2.167e-07
11757.817,2.099e-07
11969.458,2.033e-07
12184.908,1.969e-07
12404.237,1.906e-07
12627.513,1.844e-07
12854.808,1.786e-07
13086.195,1.730e-07
13321.746,1.675e-07
13561.538,1.623e-07
13805.645,1.571e-07
14054.147,1.521e-07
14307.122,1.472e-07
14564.650,1.424e-07
14826.813,1.379e-07
15093.696,1.335e-07
15365.383,1.292e-07
15641.960,1.250e-07
15923.515,1.208e-07
16210.138,1.169e-07
16501.921,1.131e-07
16798.955,1.095e-07
17101.336,1.060e-07
17409.160,1.026e-07
17722.525,9.922e-08
18041.531,9.595e-08
18366.278,9.284e-08
18696.871,8.983e-08
19033.415,8.692e-08
19376.016,8.412e-08
19724.785,8.139e-08
20079.831,7.870e-08
20441.268,7.609e-08
20809.211,7.359e-08
21183.776,7.118e-08
21565.084,6.885e-08
21953.256,6.658e-08
22348.415,6.435e-08
22750.686,6.220e-08
23160.198,6.012e-08
23577.082,5.813e-08
24001.469,5.621e-08
24433.496,5.434e-08
24873.299,5.254e-08
25321.018,5.078e-08
25776.796,4.907e-08
26240.779,4.741e-08
26713.113,4.584e-08
27193.949,4.432e-08
27683.440,4.284e-08
28181.742,4.141e-08
28689.013,4.000e-08
29205.415,3.864e-08
29731.113,3.735e-08
30266.273,3.609e-08
