# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,1.089e-05
509.000,1.056e-05
518.162,1.024e-05
527.489,9.926e-06
536.984,9.607e-06
546.649,9.295e-06
556.489,8.997e-06
566.506,8.719e-06
576.703,8.455e-06
587.084,8.196e-06
597.651,7.937e-06
608.409,7.680e-06
619.360,7.432e-06
630.509,7.199e-06
641.858,6.981e-06
653.411,6.772e-06
665.173,6.566e-06
677.146,6.361e-06
689.334,6.158e-06
701.743,5.963e-06
714.374,5.779e-06
727.233,5.606e-06
740.323,5.439e-06
753.649,5.275e-06
767.214,5.110e-06
781.024,4.947e-06
795.083,4.791e-06
809.394,4.645e-06
823.963,4.506e-06
838.794,4.371e-06
853.893,4.236e-06
869.263,4.103e-06
884.910,3.972e-06
900.838,3.849e-06
917.053,3.732e-06
933.560,3.622e-06
950.364,3.514e-06
967.471,3.406e-06
984.885,3.299e-06
1002.613,3.196e-06
1020.660,3.099e-06
1039.032,3.007e-06
1057.735,2.919e-06
1076.774,2.832e-06
1096.156,2.746e-06
1115.886,2.661e-06
1135.972,2.578e-06
1156.420,2.499e-06
1177.235,2.425e-06
1198.426,2.353e-06
1219.997,2.282e-06
1241.957,2.211e-06
1264.313,2.141e-06
1287.070,2.075e-06
1310.237,2.012e-06
1333.822,1.953e-06
1357.831,1.896e-06
1382.271,1.839e-06
1407.152,1.782e-06
1432.481,1.727e-06
1458.266,1.675e-06
1484.515,1.625e-06
1511.236,1.578e-06
1538.438,1.531e-06
1566.130,1.485e-06
1594.320,1.440e-06
1623.018,1.395e-06
1652.232,1.352e-06
1681.973,1.312e-06
1712.248,1.273e-06
1743.069,1.235e-06
1774.444,1.197e-06
1806.384,1.160e-06
1838.899,1.124e-06
1871.999,1.090e-06
1905.695,1.058e-06
1939.997,1.027e-06
1974.917,9.962e-07
2010.466,9.657e-07
2046.654,9.358e-07
2083.494,9.074e-07
2120.997,8.802e-07
2159.175,8.542e-07
2198.040,8.292e-07
2237.605,8.044e-07
2277.882,7.797e-07
2318.883,7.557e-07
2360.623,7.327e-07
2403.115,7.106e-07
2446.371,6.895e-07
2490.405,6.688e-07
2535.233,6.483e-07
2580.867,6.281e-07
2627.322,6.085e-07
2674.614,5.898e-07
2722.757,5.721e-07
2771.767,5.551e-07
2821.659,5.385e-07
2872.448,5.220e-07
2924.153,5.056e-07
2976.787,4.901e-07
3030.369,4.754e-07
3084.916,4.612e-07
3140.445,4.474e-07
3196.973,4.340e-07
3254.518,4.206e-07
3313.099,4.076e-07
3372.735,3.949e-07
3433.444,3.828e-07
3495.246,3.712e-07
3558.161,3.600e-07
3622.208,3.489e-07
3687.408,3.378e-07
3753.781,3.271e-07
3821.349,3.169e-07
3890.133,3.073e-07
3960.156,2.980e-07
4031.438,2.889e-07
4104.004,2.800e-07
4177.876,2.711e-07
4253.078,2.626e-07
4329.634,2.545e-07
4407.567,2.467e-07
4486.903,2.392e-07
4567.667,2.319e-07
4649.885,2.247e-07
4733.583,2.175e-07
4818.788,2.107e-07
4905.526,2.040e-07
4993.826,1.978e-07
5083.714,1.917e-07
5175.221,1.856e-07
5268.375,1.797e-07
5363.206,1.739e-07
5459.744,1.683e-07
5558.019,1.631e-07
5658.063,1.580e-07
5759.909,1.531e-07
5863.587,1.482e-07
5969.131,1.435e-07
6076.576,1.388e-07
6185.954,1.344e-07
6297.301,1.302e-07
6410.653,1.261e-07
6526.045,1.222e-07
6643.513,1.183e-07
6763.097,1.144e-07
6884.832,1.107e-07
7008.759,1.072e-07
7134.917,1.038e-07
7263.346,1.005e-07
7394.086,9.722e-08
7527.179,9.404e-08
7662.669,9.093e-08
7800.597,8.793e-08
7941.007,8.508e-08
8083.945,8.236e-08
8229.456,7.973e-08
8377.587,7.714e-08
8528.383,7.460e-08
8681.894,7.209e-08
8838.168,6.972e-08
8997.255,6.748e-08
9159.206,6.531e-08
9324.072,6.320e-08
9491.905,6.111e-08
9662.759,5.908e-08
9836.689,5.711e-08
10013.749,5.521e-08
10193.997,5.340e-08
10377.489,5.165e-08
10564.283,4.994e-08
10754.440,4.826e-08
10948.020,4.662e-08
11145.085,4.502e-08
11345.696,4.351e-08
11549.919,4.208e-08
11757.817,4.069e-08
11969.458,3.933e-08
12184.908,3.798e-08
12404.237,3.668e-08
12627.513,3.543e-08
12854.808,3.425e-08
13086.195,3.311e-08
13321.746,3.200e-08
13561.538,3.091e-08
13805.645,2.985e-08
14054.147,2.882e-08
14307.122,2.783e-08
14564.650,2.688e-08
14826.813,2.597e-08
15093.696,2.509e-08
15365.383,2.422e-08
15641.960,2.336e-08
15923.515,2.253e-08
16210.138,2.176e-08
16501.921,2.101e-08
16798.955,2.030e-08
17101.336,1.959e-08
17409.160,1.890e-08
17722.525,1.823e-08
18041.531,1.759e-08
18366.278,1.698e-08
18696.871,1.639e-08
19033.415,1.582e-08
19376.016,1.527e-08
19724.785,1.473e-08
20079.831,1.420e-08
20441.268,1.369e-08
20809.211,1.321e-08
21183.776,1.275e-08
21565.084,1.230e-08
21953.256,1.186e-08
22348.415,1.142e-08
22750.686,1.101e-08
23160.198,1.062e-08
23577.082,1.024e-08
24001.469,9.877e-09
24433.496,9.521e-09
24873.299,9.176e-09
25321.018,8.842e-09
25776.796,8.519e-09
26240.779,8.210e-09
26713.113,7.916e-09
27193.949,7.632e-09
27683.440,7.356e-09
28181.742,7.086e-09
28689.013,6.822e-09
29205.415,6.572e-09
29731.113,6.334e-09
30266.273,6.104e-09
