# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,1.544e-05
509.000,1.498e-05
518.162,1.453e-05
527.489,1.409e-05
536.984,1.364e-05
546.649,1.320e-05
556.489,1.279e-05
566.506,1.240e-05
576.703,1.203e-05
587.084,1.166e-05
597.651,1.130e-05
608.409,1.094e-05
619.360,1.059e-05
630.509,1.027e-05
641.858,9.959e-06
653.411,9.665e-06
665.173,9.373e-06
677.146,9.082e-06
689.334,8.797e-06
701.743,8.525e-06
714.374,8.267e-06
727.233,8.023e-06
740.323,7.787e-06
753.649,7.553e-06
767.214,7.319e-06
781.024,7.090e-06
795.083,6.871e-06
809.394,6.665e-06
823.963,6.469e-06
838.794,6.276e-06
853.893,6.084e-06
869.263,5.894e-06
884.910,5.710e-06
900.838,5.535e-06
917.053,5.371e-06
933.560,5.213e-06
950.364,5.059e-06
967.471,4.905e-06
984.885,4.752e-06
1002.613,4.607e-06
1020.660,4.470e-06
1039.032,4.339e-06
1057.735,4.213e-06
1076.774,4.089e-06
1096.156,3.965e-06
1115.886,3.843e-06
1135.972,3.726e-06
1156.420,3.614e-06
1177.235,3.507e-06
1198.426,3.404e-06
1219.997,3.301e-06
1241.957,3.199e-06
1264.313,3.099e-06
1287.070,3.005e-06
1310.237,2.916e-06
1333.822,2.831e-06
1357.831,2.748e-06
1382.271,2.666e-06
1407.152,2.584e-06
1432.481,2.505e-06
1458.266,2.430e-06
1484.515,2.359e-06
1511.236,2.290e-06
1538.438,2.223e-06
1566.130,2.156e-06
1594.320,2.090e-06
1623.018,2.026e-06
1652.232,1.965e-06
1681.973,1.907e-06
1712.248,1.851e-06
1743.069,1.795e-06
1774.444,1.740e-06
1806.384,1.686e-06
1838.899,1.635e-06
1871.999,1.586e-06
1905.695,1.539e-06
1939.997,1.494e-06
1974.917,1.449e-06
2010.466,1.404e-06
2046.654,1.361e-06
2083.494,1.320e-06
2120.997,1.281e-06
2159.175,1.243e-06
2198.040,1.206e-06
2237.605,1.170e-06
2277.882,1.134e-06
2318.883,1.099e-06
2360.623,1.066e-06
2403.115,1.034e-06
2446.371,1.003e-06
2490.405,9.729e-07
2535.233,9.429e-07
2580.867,9.133e-07
2627.322,8.848e-07
2674.614,8.578e-07
2722.757,8.321e-07
2771.767,8.073e-07
2821.659,7.829e-07
2872.448,7.586e-07
2924.153,7.347e-07
2976.787,7.121e-07
3030.369,6.907e-07
3084.916,6.700e-07
3140.445,6.499e-07
3196.973,6.301e-07
3254.518,6.106e-07
3313.099,5.914e-07
3372.735,5.730e-07
3433.444,5.554e-07
3495.246,5.385e-07
3558.161,5.220e-07
3622.208,5.057e-07
3687.408,4.896e-07
3753.781,4.739e-07
3821.349,4.590e-07
3890.133,4.451e-07
3960.156,4.315e-07
4031.438,4.182e-07
4104.004,4.050e-07
4177.876,3.920e-07
4253.078,3.796e-07
4329.634,3.678e-07
4407.567,3.565e-07
4486.903,3.455e-07
4567.667,3.348e-07
4649.885,3.241e-07
4733.583,3.137e-07
4818.788,3.037e-07
4905.526,2.941e-07
4993.826,2.849e-07
5083.714,2.760e-07
5175.221,2.672e-07
5268.375,2.584e-07
5363.206,2.499e-07
5459.744,2.419e-07
5558.019,2.342e-07
5658.063,2.269e-07
5759.909,2.197e-07
5863.587,2.126e-07
5969.131,2.056e-07
6076.576,1.988e-07
6185.954,1.924e-07
6297.301,1.863e-07
6410.653,1.804e-07
6526.045,1.746e-07
6643.513,1.689e-07
6763.097,1.633e-07
6884.832,1.579e-07
7008.759,1.528e-07
7134.917,1.479e-07
7263.346,1.431e-07
7394.086,1.384e-07
7527.179,1.337e-07
7662.669,1.292e-07
7800.597,1.249e-07
7941.007,1.208e-07
8083.945,1.168e-07
8229.456,1.130e-07
8377.587,1.093e-07
8528.383,1.056e-07
8681.894,1.019e-07
8838.168,9.851e-08
8997.255,9.530e-08
9159.206,9.218e-08
9324.072,8.912e-08
9491.905,8.609e-08
9662.759,8.315e-08
9836.689,8.031e-08
10013.749,7.760e-08
10193.997,7.499e-08
10377.489,7.248e-08
10564.283,7.002e-08
10754.440,6.760e-08
10948.020,6.523e-08
11145.085,6.295e-08
11345.696,6.079e-08
11549.919,5.875e-08
11757.817,5.677e-08
11969.458,5.481e-08
12184.908,5.288e-08
12404.237,5.100e-08
12627.513,4.923e-08
12854.808,4.755e-08
13086.195,4.593e-08
13321.746,4.434e-08
13561.538,4.279e-08
13805.645,4.127e-08
14054.147,3.981e-08
14307.122,3.840e-08
14564.650,3.706e-08
14826.813,3.577e-08
15093.696,3.452e-08
15365.383,3.329e-08
15641.960,3.207e-08
15923.515,3.090e-08
16210.138,2.981e-08
16501.921,2.877e-08
16798.955,2.776e-08
17101.336,2.676e-08
17409.160,2.578e-08
17722.525,2.484e-08
18041.531,2.394e-08
18366.278,2.309e-08
18696.871,2.226e-08
19033.415,2.146e-08
19376.016,2.069e-08
19724.785,1.993e-08
20079.831,1.919e-08
20441.268,1.848e-08
20809.211,1.782e-08
21183.776,1.718e-08
21565.084,1.655e-08
21953.256,1.593e-08
22348.415,1.533e-08
22750.686,1.476e-08
23160.198,1.421e-08
23577.082,1.369e-08
24001.469,1.319e-08
24433.496,1.270e-08
24873.299,1.222e-08
25321.018,1.176e-08
25776.796,1.131e-08
26240.779,1.089e-08
26713.113,1.049e-08
27193.949,1.010e-08
27683.440,9.720e-09
28181.742,9.349e-09
28689.013,8.987e-09
29205.415,8.646e-09
29731.113,8.324e-09
30266.273,8.011e-09
