# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,7.929e-06
509.000,7.686e-06
518.162,7.450e-06
527.489,7.216e-06
536.984,6.981e-06
546.649,6.749e-06
556.489,6.527e-06
566.506,6.320e-06
576.703,6.126e-06
587.084,5.937e-06
597.651,5.747e-06
608.409,5.558e-06
619.360,5.375e-06
630.509,5.202e-06
641.858,5.041e-06
653.411,4.887e-06
665.173,4.737e-06
677.146,4.587e-06
689.334,4.438e-06
701.743,4.294e-06
714.374,4.157e-06
727.233,4.030e-06
740.323,3.908e-06
753.649,3.789e-06
767.214,3.668e-06
781.024,3.549e-06
795.083,3.434e-06
809.394,3.326e-06
823.963,3.225e-06
838.794,3.127e-06
853.893,3.030e-06
869.263,2.933e-06
884.910,2.838e-06
900.838,2.747e-06
917.053,2.662e-06
933.560,2.581e-06
950.364,2.503e-06
967.471,2.426e-06
984.885,2.348e-06
1002.613,2.273e-06
1020.660,2.202e-06
1039.032,2.135e-06
1057.735,2.072e-06
1076.774,2.010e-06
1096.156,1.948e-06
1115.886,1.886e-06
1135.972,1.826e-06
1156.420,1.769e-06
1177.235,1.715e-06
1198.426,1.663e-06
1219.997,1.613e-06
1241.957,1.562e-06
1264.313,1.512e-06
1287.070,1.464e-06
1310.237,1.419e-06
1333.822,1.377e-06
1357.831,1.336e-06
1382.271,1.295e-06
1407.152,1.255e-06
1432.481,1.216e-06
1458.266,1.178e-06
1484.515,1.142e-06
1511.236,1.108e-06
1538.438,1.075e-06
1566.130,1.043e-06
1594.320,1.010e-06
1623.018,9.785e-07
1652.232,9.479e-07
1681.973,9.192e-07
1712.248,8.919e-07
1743.069,8.651e-07
1774.444,8.384e-07
1806.384,8.121e-07
1838.899,7.867e-07
1871.999,7.625e-07
1905.695,7.396e-07
1939.997,7.177e-07
1974.917,6.962e-07
2010.466,6.748e-07
2046.654,6.538e-07
2083.494,6.336e-07
2120.997,6.143e-07
2159.175,5.960e-07
2198.040,5.785e-07
2237.605,5.613e-07
2277.882,5.440e-07
2318.883,5.272e-07
2360.623,5.109e-07
2403.115,4.953e-07
2446.371,4.805e-07
2490.405,4.661e-07
2535.233,4.519e-07
2580.867,4.378e-07
2627.322,4.241e-07
2674.614,4.110e-07
2722.757,3.985e-07
2771.767,3.867e-07
2821.659,3.752e-07
2872.448,3.638e-07
2924.153,3.524e-07
2976.787,3.415e-07
3030.369,3.312e-07
3084.916,3.213e-07
3140.445,3.117e-07
3196.973,3.024e-07
3254.518,2.932e-07
3313.099,2.841e-07
3372.735,2.753e-07
3433.444,2.668e-07
3495.246,2.587e-07
3558.161,2.510e-07
3622.208,2.433e-07
3687.408,2.357e-07
3753.781,2.283e-07
3821.349,2.212e-07
3890.133,2.145e-07
3960.156,2.080e-07
4031.438,2.018e-07
4104.004,1.956e-07
4177.876,1.895e-07
4253.078,1.836e-07
4329.634,1.779e-07
4407.567,1.725e-07
4486.903,1.673e-07
4567.667,1.623e-07
4649.885,1.573e-07
4733.583,1.524e-07
4818.788,1.476e-07
4905.526,1.430e-07
4993.826,1.387e-07
5083.714,1.344e-07
5175.221,1.303e-07
5268.375,1.262e-07
5363.206,1.222e-07
5459.744,1.183e-07
5558.019,1.146e-07
5658.063,1.111e-07
5759.909,1.077e-07
5863.587,1.044e-07
5969.131,1.011e-07
6076.576,9.789e-08
6185.954,9.483e-08
6297.301,9.189e-08
6410.653,8.907e-08
6526.045,8.634e-08
6643.513,8.366e-08
6763.097,8.100e-08
6884.832,7.842e-08
7008.759,7.595e-08
7134.917,7.357e-08
7263.346,7.128e-08
7394.086,6.904e-08
7527.179,6.684e-08
7662.669,6.468e-08
7800.597,6.259e-08
7941.007,6.060e-08
8083.945,5.870e-08
8229.456,5.686e-08
8377.587,5.507e-08
8528.383,5.331e-08
8681.894,5.157e-08
8838.168,4.991e-08
8997.255,4.834e-08
9159.206,4.682e-08
9324.072,4.534e-08
9491.905,4.390e-08
9662.759,4.248e-08
9836.689,4.110e-08
10013.749,3.977e-08
10193.997,3.849e-08
10377.489,3.726e-08
10564.283,3.607e-08
10754.440,3.490e-08
10948.020,3.374e-08
11145.085,3.262e-08
11345.696,3.155e-08
11549.919,3.054e-08
11757.817,2.956e-08
11969.458,2.861e-08
12184.908,2.766e-08
12404.237,2.674e-08
12627.513,2.586e-08
12854.808,2.502e-08
13086.195,2.421e-08
13321.746,2.343e-08
13561.538,2.266e-08
13805.645,2.191e-08
14054.147,2.118e-08
14307.122,2.048e-08
14564.650,1.980e-08
14826.813,1.915e-08
15093.696,1.852e-08
15365.383,1.790e-08
15641.960,1.729e-08
15923.515,1.670e-08
16210.138,1.614e-08
16501.921,1.561e-08
16798.955,1.509e-08
17101.336,1.459e-08
17409.160,1.410e-08
17722.525,1.362e-08
18041.531,1.315e-08
18366.278,1.271e-08
18696.871,1.229e-08
19033.415,1.188e-08
19376.016,1.148e-08
19724.785,1.109e-08
20079.831,1.071e-08
20441.268,1.034e-08
20809.211,9.989e-09
21183.776,9.652e-09
21565.084,9.324e-09
21953.256,9.004e-09
22348.415,8.689e-09
22750.686,8.387e-09
23160.198,8.097e-09
23577.082,7.820e-09
24001.469,7.553e-09
24433.496,7.292e-09
24873.299,7.039e-09
25321.018,6.794e-09
25776.796,6.555e-09
26240.779,6.327e-09
26713.113,6.109e-09
27193.949,5.899e-09
27683.440,5.694e-09
28181.742,5.495e-09
28689.013,5.300e-09
29205.415,5.113e-09
29731.113,4.935e-09
30266.273,4.763e-09
