# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,4.593e-06
509.000,4.458e-06
518.162,4.326e-06
527.489,4.193e-06
536.984,4.061e-06
546.649,3.933e-06
556.489,3.812e-06
566.506,3.697e-06
576.703,3.588e-06
587.084,3.480e-06
597.651,3.372e-06
608.409,3.265e-06
619.360,3.163e-06
630.509,3.068e-06
641.858,2.978e-06
653.411,2.891e-06
665.173,2.804e-06
677.146,2.718e-06
689.334,2.634e-06
701.743,2.554e-06
714.374,2.478e-06
727.233,2.406e-06
740.323,2.337e-06
753.649,2.267e-06
767.214,2.198e-06
781.024,2.130e-06
795.083,2.066e-06
809.394,2.005e-06
823.963,1.947e-06
838.794,1.889e-06
853.893,1.832e-06
869.263,1.776e-06
884.910,1.721e-06
900.838,1.669e-06
917.053,1.621e-06
933.560,1.574e-06
950.364,1.528e-06
967.471,1.482e-06
984.885,1.437e-06
1002.613,1.394e-06
1020.660,1.353e-06
1039.032,1.314e-06
1057.735,1.277e-06
1076.774,1.239e-06
1096.156,1.202e-06
1115.886,1.166e-06
1135.972,1.131e-06
1156.420,1.098e-06
1177.235,1.066e-06
1198.426,1.035e-06
1219.997,1.004e-06
1241.957,9.734e-07
1264.313,9.434e-07
1287.070,9.152e-07
1310.237,8.887e-07
1333.822,8.632e-07
1357.831,8.383e-07
1382.271,8.134e-07
1407.152,7.887e-07
1432.481,7.651e-07
1458.266,7.427e-07
1484.515,7.213e-07
1511.236,7.006e-07
1538.438,6.804e-07
1566.130,6.602e-07
1594.320,6.402e-07
1623.018,6.209e-07
1652.232,6.025e-07
1681.973,5.850e-07
1712.248,5.680e-07
1743.069,5.511e-07
1774.444,5.343e-07
1806.384,5.179e-07
1838.899,5.023e-07
1871.999,4.876e-07
1905.695,4.735e-07
1939.997,4.597e-07
1974.917,4.460e-07
2010.466,4.324e-07
2046.654,4.192e-07
2083.494,4.068e-07
2120.997,3.949e-07
2159.175,3.834e-07
2198.040,3.722e-07
2237.605,3.611e-07
2277.882,3.501e-07
2318.883,3.395e-07
2360.623,3.293e-07
2403.115,3.196e-07
2446.371,3.101e-07
2490.405,3.009e-07
2535.233,2.916e-07
2580.867,2.825e-07
2627.322,2.738e-07
2674.614,2.656e-07
2722.757,2.577e-07
2771.767,2.501e-07
2821.659,2.425e-07
2872.448,2.351e-07
2924.153,2.277e-07
2976.787,2.207e-07
3030.369,2.142e-07
3084.916,2.078e-07
3140.445,2.016e-07
3196.973,1.955e-07
3254.518,1.895e-07
3313.099,1.836e-07
3372.735,1.779e-07
3433.444,1.725e-07
3495.246,1.673e-07
3558.161,1.622e-07
3622.208,1.571e-07
3687.408,1.521e-07
3753.781,1.472e-07
3821.349,1.426e-07
3890.133,1.383e-07
3960.156,1.341e-07
4031.438,1.300e-07
4104.004,1.259e-07
4177.876,1.218e-07
4253.078,1.180e-07
4329.634,1.143e-07
4407.567,1.108e-07
4486.903,1.074e-07
4567.667,1.041e-07
4649.885,1.008e-07
4733.583,9.752e-08
4818.788,9.440e-08
4905.526,9.142e-08
4993.826,8.858e-08
5083.714,8.581e-08
5175.221,8.306e-08
5268.375,8.031e-08
5363.206,7.767e-08
5459.744,7.517e-08
5558.019,7.280e-08
5658.063,7.051e-08
5759.909,6.827e-08
5863.587,6.605e-08
5969.131,6.386e-08
6076.576,6.174e-08
6185.954,5.975e-08
6297.301,5.785e-08
6410.653,5.601e-08
6526.045,5.421e-08
6643.513,5.242e-08
6763.097,5.066e-08
6884.832,4.898e-08
7008.759,4.738e-08
7134.917,4.585e-08
7263.346,4.436e-08
7394.086,4.288e-08
7527.179,4.143e-08
7662.669,4.002e-08
7800.597,3.866e-08
7941.007,3.738e-08
8083.945,3.616e-08
8229.456,3.497e-08
8377.587,3.379e-08
8528.383,3.263e-08
8681.894,3.150e-08
8838.168,3.043e-08
8997.255,2.943e-08
9159.206,2.846e-08
9324.072,2.750e-08
9491.905,2.655e-08
9662.759,2.563e-08
9836.689,2.474e-08
10013.749,2.390e-08
10193.997,2.309e-08
10377.489,2.231e-08
10564.283,2.154e-08
10754.440,2.078e-08
10948.020,2.004e-08
11145.085,1.933e-08
11345.696,1.866e-08
11549.919,1.803e-08
11757.817,1.741e-08
11969.458,1.680e-08
12184.908,1.619e-08
12404.237,1.561e-08
12627.513,1.506e-08
12854.808,1.454e-08
13086.195,1.403e-08
13321.746,1.354e-08
13561.538,1.306e-08
13805.645,1.258e-08
14054.147,1.213e-08
14307.122,1.169e-08
14564.650,1.128e-08
14826.813,1.088e-08
15093.696,1.049e-08
15365.383,1.011e-08
15641.960,9.728e-09
15923.515,9.364e-09
16210.138,9.028e-09
16501.921,8.707e-09
16798.955,8.394e-09
17101.336,8.086e-09
17409.160,7.783e-09
17722.525,7.492e-09
18041.531,7.213e-09
18366.278,6.950e-09
18696.871,6.697e-09
19033.415,6.451e-09
19376.016,6.212e-09
19724.785,5.977e-09
20079.831,5.749e-09
20441.268,5.531e-09
20809.211,5.327e-09
21183.776,5.131e-09
21565.084,4.939e-09
21953.256,4.750e-09
22348.415,4.564e-09
22750.686,4.389e-09
23160.198,4.223e-09
23577.082,4.065e-09
24001.469,3.912e-09
24433.496,3.761e-09
24873.299,3.615e-09
25321.018,3.474e-09
25776.796,3.338e-09
26240.779,3.209e-09
26713.113,3.088e-09
27193.949,2.970e-09
27683.440,2.854e-09
28181.742,2.741e-09
28689.013,2.631e-09
29205.415,2.528e-09
29731.113,2.431e-09
30266.273,2.337e-09
