# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,2.706e-05
509.000,2.626e-05
518.162,2.548e-05
527.489,2.470e-05
536.984,2.393e-05
546.649,2.318e-05
556.489,2.246e-05
566.506,2.179e-05
576.703,2.115e-05
587.084,2.051e-05
597.651,1.987e-05
608.409,1.924e-05
619.360,1.865e-05
630.509,1.809e-05
641.858,1.756e-05
653.411,1.704e-05
665.173,1.653e-05
677.146,1.602e-05
689.334,1.553e-05
701.743,1.506e-05
714.374,1.461e-05
727.233,1.419e-05
740.323,1.377e-05
753.649,1.336e-05
767.214,1.295e-05
781.024,1.255e-05
795.083,1.217e-05
809.394,1.181e-05
823.963,1.147e-05
838.794,1.113e-05
853.893,1.079e-05
869.263,1.046e-05
884.910,1.014e-05
900.838,9.832e-06
917.053,9.544e-06
933.560,9.267e-06
950.364,8.995e-06
967.471,8.722e-06
984.885,8.453e-06
1002.613,8.199e-06
1020.660,7.958e-06
1039.032,7.729e-06
1057.735,7.507e-06
1076.774,7.286e-06
1096.156,7.067e-06
1115.886,6.852e-06
1135.972,6.645e-06
1156.420,6.449e-06
1177.235,6.260e-06
1198.426,6.076e-06
1219.997,5.894e-06
1241.957,5.712e-06
1264.313,5.535e-06
1287.070,5.369e-06
1310.237,5.212e-06
1333.822,5.061e-06
1357.831,4.913e-06
1382.271,4.766e-06
1407.152,4.620e-06
1432.481,4.480e-06
1458.266,4.348e-06
1484.515,4.222e-06
1511.236,4.099e-06
1538.438,3.979e-06
1566.130,3.860e-06
1594.320,3.742e-06
1623.018,3.628e-06
1652.232,3.519e-06
1681.973,3.416e-06
1712.248,3.316e-06
1743.069,3.216e-06
1774.444,3.117e-06
1806.384,3.020e-06
1838.899,2.928e-06
1871.999,2.842e-06
1905.695,2.758e-06
1939.997,2.677e-06
1974.917,2.596e-06
2010.466,2.516e-06
2046.654,2.438e-06
2083.494,2.365e-06
2120.997,2.295e-06
2159.175,2.228e-06
2198.040,2.162e-06
2237.605,2.096e-06
2277.882,2.031e-06
2318.883,1.969e-06
2360.623,1.909e-06
2403.115,1.852e-06
2446.371,1.797e-06
2490.405,1.742e-06
2535.233,1.688e-06
2580.867,1.635e-06
2627.322,1.584e-06
2674.614,1.535e-06
2722.757,1.489e-06
2771.767,1.445e-06
2821.659,1.401e-06
2872.448,1.357e-06
2924.153,1.314e-06
2976.787,1.273e-06
3030.369,1.235e-06
3084.916,1.198e-06
3140.445,1.161e-06
3196.973,1.126e-06
3254.518,1.090e-06
3313.099,1.056e-06
3372.735,1.023e-06
3433.444,9.912e-07
3495.246,9.608e-07
3558.161,9.311e-07
3622.208,9.015e-07
3687.408,8.723e-07
3753.781,8.441e-07
3821.349,8.175e-07
3890.133,7.924e-07
3960.156,7.681e-07
4031.438,7.440e-07
4104.004,7.201e-07
4177.876,6.967e-07
4253.078,6.744e-07
4329.634,6.533e-07
4407.567,6.330e-07
4486.903,6.133e-07
4567.667,5.939e-07
4649.885,5.747e-07
4733.583,5.559e-07
4818.788,5.378e-07
4905.526,5.207e-07
4993.826,5.043e-07
5083.714,4.883e-07
5175.221,4.723e-07
5268.375,4.565e-07
5363.206,4.413e-07
5459.744,4.270e-07
5558.019,4.133e-07
5658.063,4.001e-07
5759.909,3.872e-07
5863.587,3.744e-07
5969.131,3.619e-07
6076.576,3.497e-07
6185.954,3.383e-07
6297.301,3.274e-07
6410.653,3.168e-07
6526.045,3.065e-07
6643.513,2.962e-07
6763.097,2.861e-07
6884.832,2.765e-07
7008.759,2.674e-07
7134.917,2.587e-07
7263.346,2.501e-07
7394.086,2.417e-07
7527.179,2.334e-07
7662.669,2.253e-07
7800.597,2.176e-07
7941.007,2.103e-07
8083.945,2.034e-07
8229.456,1.966e-07
8377.587,1.899e-07
8528.383,1.833e-07
8681.894,1.768e-07
8838.168,1.707e-07
8997.255,1.651e-07
9159.206,1.595e-07
9324.072,1.541e-07
9491.905,1.487e-07
9662.759,1.435e-07
9836.689,1.385e-07
10013.749,1.337e-07
10193.997,1.291e-07
10377.489,1.247e-07
10564.283,1.203e-07
10754.440,1.161e-07
10948.020,1.119e-07
11145.085,1.079e-07
11345.696,1.041e-07
11549.919,1.005e-07
11757.817,9.702e-08
11969.458,9.357e-08
12184.908,9.016e-08
12404.237,8.687e-08
12627.513,8.377e-08
12854.808,8.084e-08
13086.195,7.801e-08
13321.746,7.523e-08
13561.538,7.251e-08
13805.645,6.986e-08
14054.147,6.730e-08
14307.122,6.486e-08
14564.650,6.253e-08
14826.813,6.030e-08
15093.696,5.812e-08
15365.383,5.597e-08
15641.960,5.386e-08
15923.515,5.183e-08
16210.138,4.995e-08
16501.921,4.815e-08
16798.955,4.641e-08
17101.336,4.469e-08
17409.160,4.299e-08
17722.525,4.137e-08
18041.531,3.982e-08
18366.278,3.835e-08
18696.871,3.694e-08
19033.415,3.557e-08
19376.016,3.424e-08
19724.785,3.293e-08
20079.831,3.166e-08
20441.268,3.046e-08
20809.211,2.932e-08
21183.776,2.823e-08
21565.084,2.717e-08
21953.256,2.612e-08
22348.415,2.508e-08
22750.686,2.411e-08
23160.198,2.319e-08
23577.082,2.232e-08
24001.469,2.147e-08
24433.496,2.064e-08
24873.299,1.983e-08
25321.018,1.905e-08
25776.796,1.830e-08
26240.779,1.759e-08
26713.113,1.692e-08
27193.949,1.626e-08
27683.440,1.563e-08
28181.742,1.500e-08
28689.013,1.440e-08
29205.415,1.383e-08
29731.113,1.329e-08
30266.273,1.278e-08
