# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,5.321e-05
509.000,5.154e-05
518.162,4.993e-05
527.489,4.834e-05
536.984,4.674e-05
546.649,4.514e-05
556.489,4.362e-05
566.506,4.220e-05
576.703,4.087e-05
587.084,3.959e-05
597.651,3.831e-05
608.409,3.703e-05
619.360,3.576e-05
630.509,3.457e-05
641.858,3.347e-05
653.411,3.243e-05
665.173,3.142e-05
677.146,3.040e-05
689.334,2.939e-05
701.743,2.840e-05
714.374,2.747e-05
727.233,2.660e-05
740.323,2.578e-05
753.649,2.497e-05
767.214,2.416e-05
781.024,2.335e-05
795.083,2.257e-05
809.394,2.183e-05
823.963,2.115e-05
838.794,2.050e-05
853.893,1.985e-05
869.263,1.920e-05
884.910,1.856e-05
900.838,1.794e-05
917.053,1.736e-05
933.560,1.682e-05
950.364,1.631e-05
967.471,1.579e-05
984.885,1.528e-05
1002.613,1.477e-05
1020.660,1.429e-05
1039.032,1.384e-05
1057.735,1.342e-05
1076.774,1.300e-05
1096.156,1.259e-05
1115.886,1.218e-05
1135.972,1.178e-05
1156.420,1.140e-05
1177.235,1.104e-05
1198.426,1.070e-05
1219.997,1.037e-05
1241.957,1.004e-05
1264.313,9.710e-06
1287.070,9.390e-06
1310.237,9.090e-06
1333.822,8.811e-06
1357.831,8.544e-06
1382.271,8.281e-06
1407.152,8.018e-06
1432.481,7.760e-06
1458.266,7.510e-06
1484.515,7.274e-06
1511.236,7.052e-06
1538.438,6.839e-06
1566.130,6.629e-06
1594.320,6.419e-06
1623.018,6.211e-06
1652.232,6.010e-06
1681.973,5.822e-06
1712.248,5.646e-06
1743.069,5.475e-06
1774.444,5.304e-06
1806.384,5.135e-06
1838.899,4.970e-06
1871.999,4.812e-06
1905.695,4.664e-06
1939.997,4.523e-06
1974.917,4.387e-06
2010.466,4.251e-06
2046.654,4.116e-06
2083.494,3.985e-06
2120.997,3.860e-06
2159.175,3.743e-06
2198.040,3.632e-06
2237.605,3.523e-06
2277.882,3.414e-06
2318.883,3.307e-06
2360.623,3.202e-06
2403.115,3.103e-06
2446.371,3.008e-06
2490.405,2.918e-06
2535.233,2.829e-06
2580.867,2.740e-06
2627.322,2.653e-06
2674.614,2.570e-06
2722.757,2.490e-06
2771.767,2.416e-06
2821.659,2.344e-06
2872.448,2.273e-06
2924.153,2.202e-06
2976.787,2.133e-06
3030.369,2.068e-06
3084.916,2.005e-06
3140.445,1.945e-06
3196.973,1.888e-06
3254.518,1.830e-06
3313.099,1.774e-06
3372.735,1.718e-06
3433.444,1.665e-06
3495.246,1.614e-06
3558.161,1.566e-06
3622.208,1.519e-06
3687.408,1.472e-06
3753.781,1.426e-06
3821.349,1.381e-06
3890.133,1.339e-06
3960.156,1.299e-06
4031.438,1.260e-06
4104.004,1.222e-06
4177.876,1.184e-06
4253.078,1.148e-06
4329.634,1.112e-06
4407.567,1.079e-06
4486.903,1.046e-06
4567.667,1.015e-06
4649.885,9.849e-07
4733.583,9.547e-07
4818.788,9.250e-07
4905.526,8.963e-07
4993.826,8.690e-07
5083.714,8.430e-07
5175.221,8.176e-07
5268.375,7.924e-07
5363.206,7.677e-07
5459.744,7.438e-07
5558.019,7.208e-07
5658.063,6.990e-07
5759.909,6.780e-07
5863.587,6.577e-07
5969.131,6.376e-07
6076.576,6.177e-07
6185.954,5.987e-07
6297.301,5.804e-07
6410.653,5.629e-07
6526.045,5.462e-07
6643.513,5.297e-07
6763.097,5.134e-07
6884.832,4.975e-07
7008.759,4.821e-07
7134.917,4.672e-07
7263.346,4.530e-07
7394.086,4.392e-07
7527.179,4.257e-07
7662.669,4.124e-07
7800.597,3.994e-07
7941.007,3.870e-07
8083.945,3.751e-07
8229.456,3.638e-07
8377.587,3.527e-07
8528.383,3.419e-07
8681.894,3.311e-07
8838.168,3.208e-07
8997.255,3.109e-07
9159.206,3.014e-07
9324.072,2.923e-07
9491.905,2.834e-07
9662.759,2.746e-07
9836.689,2.660e-07
10013.749,2.577e-07
10193.997,2.496e-07
10377.489,2.419e-07
10564.283,2.345e-07
10754.440,2.272e-07
10948.020,2.200e-07
11145.085,2.130e-07
11345.696,2.062e-07
11549.919,1.998e-07
11757.817,1.936e-07
11969.458,1.876e-07
12184.908,1.818e-07
12404.237,1.760e-07
12627.513,1.704e-07
12854.808,1.651e-07
13086.195,1.599e-07
13321.746,1.550e-07
13561.538,1.502e-07
13805.645,1.455e-07
14054.147,1.408e-07
14307.122,1.363e-07
14564.650,1.320e-07
14826.813,1.278e-07
15093.696,1.238e-07
15365.383,1.199e-07
15641.960,1.160e-07
15923.515,1.122e-07
16210.138,1.086e-07
16501.921,1.052e-07
16798.955,1.019e-07
17101.336,9.863e-08
17409.160,9.547e-08
17722.525,9.240e-08
18041.531,8.940e-08
18366.278,8.654e-08
18696.871,8.377e-08
19033.415,8.109e-08
19376.016,7.852e-08
19724.785,7.600e-08
20079.831,7.354e-08
20441.268,7.113e-08
20809.211,6.882e-08
21183.776,6.659e-08
21565.084,6.444e-08
21953.256,6.235e-08
22348.415,6.029e-08
22750.686,5.830e-08
23160.198,5.638e-08
23577.082,5.453e-08
24001.469,5.276e-08
24433.496,5.103e-08
24873.299,4.936e-08
25321.018,4.774e-08
25776.796,4.615e-08
26240.779,4.461e-08
26713.113,4.315e-08
27193.949,4.174e-08
27683.440,4.037e-08
28181.742,3.904e-08
28689.013,3.773e-08
29205.415,3.647e-08
29731.113,3.526e-08
30266.273,3.409e-08
