# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,8.903e-06
509.000,8.631e-06
518.162,8.368e-06
527.489,8.106e-06
536.984,7.843e-06
546.649,7.585e-06
556.489,7.338e-06
566.506,7.108e-06
576.703,6.891e-06
587.084,6.679e-06
597.651,6.467e-06
608.409,6.255e-06
619.360,6.050e-06
630.509,5.858e-06
641.858,5.678e-06
653.411,5.506e-06
665.173,5.338e-06
677.146,5.169e-06
689.334,5.003e-06
701.743,4.842e-06
714.374,4.690e-06
727.233,4.548e-06
740.323,4.411e-06
753.649,4.277e-06
767.214,4.142e-06
781.024,4.008e-06
795.083,3.880e-06
809.394,3.760e-06
823.963,3.646e-06
838.794,3.536e-06
853.893,3.427e-06
869.263,3.317e-06
884.910,3.211e-06
900.838,3.109e-06
917.053,3.014e-06
933.560,2.923e-06
950.364,2.836e-06
967.471,2.749e-06
984.885,2.661e-06
1002.613,2.577e-06
1020.660,2.497e-06
1039.032,2.422e-06
1057.735,2.351e-06
1076.774,2.281e-06
1096.156,2.211e-06
1115.886,2.141e-06
1135.972,2.074e-06
1156.420,2.010e-06
1177.235,1.949e-06
1198.426,1.891e-06
1219.997,1.833e-06
1241.957,1.776e-06
1264.313,1.720e-06
1287.070,1.666e-06
1310.237,1.615e-06
1333.822,1.567e-06
1357.831,1.521e-06
1382.271,1.475e-06
1407.152,1.429e-06
1432.481,1.385e-06
1458.266,1.342e-06
1484.515,1.302e-06
1511.236,1.263e-06
1538.438,1.226e-06
1566.130,1.189e-06
1594.320,1.152e-06
1623.018,1.116e-06
1652.232,1.082e-06
1681.973,1.049e-06
1712.248,1.018e-06
1743.069,9.878e-07
1774.444,9.574e-07
1806.384,9.275e-07
1838.899,8.987e-07
1871.999,8.713e-07
1905.695,8.453e-07
1939.997,8.203e-07
1974.917,7.958e-07
2010.466,7.715e-07
2046.654,7.475e-07
2083.494,7.246e-07
2120.997,7.027e-07
2159.175,6.819e-07
2198.040,6.619e-07
2237.605,6.422e-07
2277.882,6.225e-07
2318.883,6.033e-07
2360.623,5.847e-07
2403.115,5.670e-07
2446.371,5.501e-07
2490.405,5.337e-07
2535.233,5.174e-07
2580.867,5.013e-07
2627.322,4.856e-07
2674.614,4.707e-07
2722.757,4.565e-07
2771.767,4.429e-07
2821.659,4.297e-07
2872.448,4.166e-07
2924.153,4.036e-07
2976.787,3.912e-07
3030.369,3.794e-07
3084.916,3.681e-07
3140.445,3.572e-07
3196.973,3.465e-07
3254.518,3.359e-07
3313.099,3.255e-07
3372.735,3.154e-07
3433.444,3.057e-07
3495.246,2.964e-07
3558.161,2.875e-07
3622.208,2.787e-07
3687.408,2.700e-07
3753.781,2.615e-07
3821.349,2.533e-07
3890.133,2.456e-07
3960.156,2.383e-07
4031.438,2.311e-07
4104.004,2.240e-07
4177.876,2.169e-07
4253.078,2.102e-07
4329.634,2.037e-07
4407.567,1.975e-07
4486.903,1.915e-07
4567.667,1.857e-07
4649.885,1.800e-07
4733.583,1.744e-07
4818.788,1.689e-07
4905.526,1.636e-07
4993.826,1.586e-07
5083.714,1.537e-07
5175.221,1.490e-07
5268.375,1.442e-07
5363.206,1.396e-07
5459.744,1.352e-07
5558.019,1.310e-07
5658.063,1.270e-07
5759.909,1.231e-07
5863.587,1.192e-07
5969.131,1.154e-07
6076.576,1.117e-07
6185.954,1.082e-07
6297.301,1.049e-07
6410.653,1.016e-07
6526.045,9.849e-08
6643.513,9.539e-08
6763.097,9.233e-08
6884.832,8.937e-08
7008.759,8.654e-08
7134.917,8.382e-08
7263.346,8.119e-08
7394.086,7.861e-08
7527.179,7.608e-08
7662.669,7.360e-08
7800.597,7.120e-08
7941.007,6.892e-08
8083.945,6.675e-08
8229.456,6.464e-08
8377.587,6.259e-08
8528.383,6.056e-08
8681.894,5.856e-08
8838.168,5.666e-08
8997.255,5.486e-08
9159.206,5.312e-08
9324.072,5.143e-08
9491.905,4.977e-08
9662.759,4.814e-08
9836.689,4.657e-08
10013.749,4.505e-08
10193.997,4.358e-08
10377.489,4.218e-08
10564.283,4.081e-08
10754.440,3.947e-08
10948.020,3.815e-08
11145.085,3.686e-08
11345.696,3.564e-08
11549.919,3.449e-08
11757.817,3.337e-08
11969.458,3.228e-08
12184.908,3.120e-08
12404.237,3.015e-08
12627.513,2.914e-08
12854.808,2.818e-08
13086.195,2.726e-08
13321.746,2.637e-08
13561.538,2.549e-08
13805.645,2.464e-08
14054.147,2.381e-08
14307.122,2.300e-08
14564.650,2.223e-08
14826.813,2.149e-08
15093.696,2.078e-08
15365.383,2.007e-08
15641.960,1.938e-08
15923.515,1.871e-08
16210.138,1.808e-08
16501.921,1.747e-08
16798.955,1.688e-08
17101.336,1.631e-08
17409.160,1.575e-08
17722.525,1.521e-08
18041.531,1.468e-08
18366.278,1.418e-08
18696.871,1.370e-08
19033.415,1.324e-08
19376.016,1.279e-08
19724.785,1.234e-08
20079.831,1.191e-08
20441.268,1.150e-08
20809.211,1.110e-08
21183.776,1.072e-08
21565.084,1.035e-08
21953.256,9.990e-09
22348.415,9.634e-09
22750.686,9.294e-09
23160.198,8.968e-09
23577.082,8.657e-09
24001.469,8.356e-09
24433.496,8.063e-09
24873.299,7.778e-09
25321.018,7.502e-09
25776.796,7.235e-09
26240.779,6.978e-09
26713.113,6.734e-09
27193.949,6.499e-09
27683.440,6.269e-09
28181.742,6.046e-09
28689.013,5.827e-09
29205.415,5.618e-09
29731.113,5.420e-09
30266.273,5.228e-09
