# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,3.442e-06
509.000,3.340e-06
518.162,3.240e-06
527.489,3.140e-06
536.984,3.041e-06
546.649,2.944e-06
556.489,2.852e-06
566.506,2.766e-06
576.703,2.684e-06
587.084,2.602e-06
597.651,2.521e-06
608.409,2.441e-06
619.360,2.364e-06
630.509,2.292e-06
641.858,2.224e-06
653.411,2.159e-06
665.173,2.094e-06
677.146,2.029e-06
689.334,1.966e-06
701.743,1.906e-06
714.374,1.849e-06
727.233,1.795e-06
740.323,1.743e-06
753.649,1.691e-06
767.214,1.639e-06
781.024,1.588e-06
795.083,1.539e-06
809.394,1.494e-06
823.963,1.450e-06
838.794,1.407e-06
853.893,1.365e-06
869.263,1.322e-06
884.910,1.281e-06
900.838,1.243e-06
917.053,1.206e-06
933.560,1.171e-06
950.364,1.137e-06
967.471,1.103e-06
984.885,1.069e-06
1002.613,1.036e-06
1020.660,1.006e-06
1039.032,9.770e-07
1057.735,9.490e-07
1076.774,9.214e-07
1096.156,8.939e-07
1115.886,8.668e-07
1135.972,8.406e-07
1156.420,8.157e-07
1177.235,7.919e-07
1198.426,7.689e-07
1219.997,7.460e-07
1241.957,7.232e-07
1264.313,7.009e-07
1287.070,6.798e-07
1310.237,6.600e-07
1333.822,6.411e-07
1357.831,6.226e-07
1382.271,6.041e-07
1407.152,5.858e-07
1432.481,5.682e-07
1458.266,5.515e-07
1484.515,5.356e-07
1511.236,5.202e-07
1538.438,5.052e-07
1566.130,4.903e-07
1594.320,4.755e-07
1623.018,4.611e-07
1652.232,4.474e-07
1681.973,4.343e-07
1712.248,4.218e-07
1743.069,4.093e-07
1774.444,3.969e-07
1806.384,3.847e-07
1838.899,3.731e-07
1871.999,3.621e-07
1905.695,3.516e-07
1939.997,3.414e-07
1974.917,3.313e-07
2010.466,3.213e-07
2046.654,3.115e-07
2083.494,3.022e-07
2120.997,2.934e-07
2159.175,2.849e-07
2198.040,2.766e-07
2237.605,2.685e-07
2277.882,2.603e-07
2318.883,2.524e-07
2360.623,2.448e-07
2403.115,2.376e-07
2446.371,2.306e-07
2490.405,2.238e-07
2535.233,2.169e-07
2580.867,2.102e-07
2627.322,2.037e-07
2674.614,1.976e-07
2722.757,1.918e-07
2771.767,1.861e-07
2821.659,1.806e-07
2872.448,1.751e-07
2924.153,1.696e-07
2976.787,1.645e-07
3030.369,1.596e-07
3084.916,1.549e-07
3140.445,1.503e-07
3196.973,1.458e-07
3254.518,1.413e-07
3313.099,1.369e-07
3372.735,1.327e-07
3433.444,1.287e-07
3495.246,1.248e-07
3558.161,1.210e-07
3622.208,1.173e-07
3687.408,1.136e-07
3753.781,1.100e-07
3821.349,1.066e-07
3890.133,1.034e-07
3960.156,1.003e-07
4031.438,9.719e-08
4104.004,9.415e-08
4177.876,9.116e-08
4253.078,8.830e-08
4329.634,8.559e-08
4407.567,8.298e-08
4486.903,8.046e-08
4567.667,7.798e-08
4649.885,7.552e-08
4733.583,7.311e-08
4818.788,7.079e-08
4905.526,6.857e-08
4993.826,6.646e-08
5083.714,6.440e-08
5175.221,6.235e-08
5268.375,6.032e-08
5363.206,5.836e-08
5459.744,5.649e-08
5558.019,5.472e-08
5658.063,5.302e-08
5759.909,5.135e-08
5863.587,4.970e-08
5969.131,4.807e-08
6076.576,4.649e-08
6185.954,4.501e-08
6297.301,4.359e-08
6410.653,4.222e-08
6526.045,4.088e-08
6643.513,3.955e-08
6763.097,3.824e-08
6884.832,3.698e-08
7008.759,3.579e-08
7134.917,3.464e-08
7263.346,3.353e-08
7394.086,3.243e-08
7527.179,3.134e-08
7662.669,3.028e-08
7800.597,2.927e-08
7941.007,2.831e-08
8083.945,2.740e-08
8229.456,2.650e-08
8377.587,2.563e-08
8528.383,2.476e-08
8681.894,2.391e-08
8838.168,2.311e-08
8997.255,2.235e-08
9159.206,2.163e-08
9324.072,2.091e-08
9491.905,2.020e-08
9662.759,1.951e-08
9836.689,1.884e-08
10013.749,1.821e-08
10193.997,1.760e-08
10377.489,1.701e-08
10564.283,1.643e-08
10754.440,1.586e-08
10948.020,1.531e-08
11145.085,1.477e-08
11345.696,1.426e-08
11549.919,1.378e-08
11757.817,1.332e-08
11969.458,1.286e-08
12184.908,1.240e-08
12404.237,1.196e-08
12627.513,1.155e-08
12854.808,1.115e-08
13086.195,1.077e-08
13321.746,1.040e-08
13561.538,1.003e-08
13805.645,9.675e-09
14054.147,9.329e-09
14307.122,8.999e-09
14564.650,8.684e-09
14826.813,8.382e-09
15093.696,8.087e-09
15365.383,7.796e-09
15641.960,7.510e-09
15923.515,7.234e-09
16210.138,6.977e-09
16501.921,6.732e-09
16798.955,6.495e-09
17101.336,6.260e-09
17409.160,6.030e-09
17722.525,5.808e-09
18041.531,5.595e-09
18366.278,5.394e-09
18696.871,5.201e-09
19033.415,5.013e-09
19376.016,4.831e-09
19724.785,4.651e-09
20079.831,4.477e-09
20441.268,4.311e-09
20809.211,4.154e-09
21183.776,4.004e-09
21565.084,3.857e-09
21953.256,3.712e-09
22348.415,3.569e-09
22750.686,3.434e-09
23160.198,3.306e-09
23577.082,3.185e-09
24001.469,3.067e-09
24433.496,2.951e-09
24873.299,2.839e-09
25321.018,2.730e-09
25776.796,2.625e-09
26240.779,2.526e-09
26713.113,2.432e-09
27193.949,2.341e-09
27683.440,2.251e-09
28181.742,2.164e-09
28689.013,2.079e-09
29205.415,1.999e-09
29731.113,1.924e-09
30266.273,1.851e-09
