# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,9.710e-06
509.000,9.415e-06
518.162,9.129e-06
527.489,8.844e-06
536.984,8.559e-06
546.649,8.278e-06
556.489,8.011e-06
566.506,7.761e-06
576.703,7.525e-06
587.084,7.294e-06
597.651,7.063e-06
608.409,6.833e-06
619.360,6.611e-06
630.509,6.402e-06
641.858,6.206e-06
653.411,6.020e-06
665.173,5.836e-06
677.146,5.653e-06
689.334,5.471e-06
701.743,5.297e-06
714.374,5.132e-06
727.233,4.977e-06
740.323,4.828e-06
753.649,4.682e-06
767.214,4.534e-06
781.024,4.389e-06
795.083,4.250e-06
809.394,4.119e-06
823.963,3.995e-06
838.794,3.875e-06
853.893,3.755e-06
869.263,3.636e-06
884.910,3.520e-06
900.838,3.409e-06
917.053,3.305e-06
933.560,3.207e-06
950.364,3.111e-06
967.471,3.015e-06
984.885,2.920e-06
1002.613,2.829e-06
1020.660,2.742e-06
1039.032,2.660e-06
1057.735,2.582e-06
1076.774,2.505e-06
1096.156,2.428e-06
1115.886,2.352e-06
1135.972,2.279e-06
1156.420,2.209e-06
1177.235,2.142e-06
1198.426,2.078e-06
1219.997,2.015e-06
1241.957,1.953e-06
1264.313,1.891e-06
1287.070,1.832e-06
1310.237,1.776e-06
1333.822,1.724e-06
1357.831,1.673e-06
1382.271,1.623e-06
1407.152,1.573e-06
1432.481,1.524e-06
1458.266,1.478e-06
1484.515,1.433e-06
1511.236,1.391e-06
1538.438,1.350e-06
1566.130,1.310e-06
1594.320,1.269e-06
1623.018,1.230e-06
1652.232,1.192e-06
1681.973,1.156e-06
1712.248,1.122e-06
1743.069,1.089e-06
1774.444,1.055e-06
1806.384,1.022e-06
1838.899,9.905e-07
1871.999,9.605e-07
1905.695,9.320e-07
1939.997,9.044e-07
1974.917,8.774e-07
2010.466,8.506e-07
2046.654,8.242e-07
2083.494,7.991e-07
2120.997,7.750e-07
2159.175,7.521e-07
2198.040,7.301e-07
2237.605,7.083e-07
2277.882,6.866e-07
2318.883,6.654e-07
2360.623,6.450e-07
2403.115,6.256e-07
2446.371,6.069e-07
2490.405,5.888e-07
2535.233,5.708e-07
2580.867,5.530e-07
2627.322,5.357e-07
2674.614,5.193e-07
2722.757,5.037e-07
2771.767,4.887e-07
2821.659,4.741e-07
2872.448,4.596e-07
2924.153,4.453e-07
2976.787,4.316e-07
3030.369,4.186e-07
3084.916,4.061e-07
3140.445,3.940e-07
3196.973,3.822e-07
3254.518,3.705e-07
3313.099,3.590e-07
3372.735,3.479e-07
3433.444,3.372e-07
3495.246,3.270e-07
3558.161,3.171e-07
3622.208,3.074e-07
3687.408,2.977e-07
3753.781,2.883e-07
3821.349,2.793e-07
3890.133,2.709e-07
3960.156,2.627e-07
4031.438,2.547e-07
4104.004,2.469e-07
4177.876,2.391e-07
4253.078,2.316e-07
4329.634,2.245e-07
4407.567,2.177e-07
4486.903,2.111e-07
4567.667,2.046e-07
4649.885,1.983e-07
4733.583,1.920e-07
4818.788,1.860e-07
4905.526,1.802e-07
4993.826,1.746e-07
5083.714,1.693e-07
5175.221,1.640e-07
5268.375,1.588e-07
5363.206,1.537e-07
5459.744,1.488e-07
5558.019,1.441e-07
5658.063,1.397e-07
5759.909,1.354e-07
5863.587,1.311e-07
5969.131,1.269e-07
6076.576,1.228e-07
6185.954,1.190e-07
6297.301,1.152e-07
6410.653,1.117e-07
6526.045,1.082e-07
6643.513,1.048e-07
6763.097,1.014e-07
6884.832,9.813e-08
7008.759,9.501e-08
7134.917,9.201e-08
7263.346,8.910e-08
7394.086,8.625e-08
7527.179,8.346e-08
7662.669,8.072e-08
7800.597,7.807e-08
7941.007,7.556e-08
8083.945,7.316e-08
8229.456,7.084e-08
8377.587,6.857e-08
8528.383,6.633e-08
8681.894,6.412e-08
8838.168,6.203e-08
8997.255,6.005e-08
9159.206,5.814e-08
9324.072,5.627e-08
9491.905,5.443e-08
9662.759,5.264e-08
9836.689,5.090e-08
10013.749,4.923e-08
10193.997,4.762e-08
10377.489,4.607e-08
10564.283,4.457e-08
10754.440,4.309e-08
10948.020,4.163e-08
11145.085,4.022e-08
11345.696,3.888e-08
11549.919,3.762e-08
11757.817,3.639e-08
11969.458,3.518e-08
12184.908,3.399e-08
12404.237,3.284e-08
12627.513,3.173e-08
12854.808,3.068e-08
13086.195,2.967e-08
13321.746,2.869e-08
13561.538,2.772e-08
13805.645,2.679e-08
14054.147,2.587e-08
14307.122,2.499e-08
14564.650,2.415e-08
14826.813,2.334e-08
15093.696,2.255e-08
15365.383,2.178e-08
15641.960,2.102e-08
15923.515,2.029e-08
16210.138,1.959e-08
16501.921,1.893e-08
16798.955,1.829e-08
17101.336,1.767e-08
17409.160,1.705e-08
17722.525,1.646e-08
18041.531,1.588e-08
18366.278,1.534e-08
18696.871,1.481e-08
19033.415,1.430e-08
19376.016,1.381e-08
19724.785,1.333e-08
20079.831,1.286e-08
20441.268,1.240e-08
20809.211,1.197e-08
21183.776,1.156e-08
21565.084,1.116e-08
21953.256,1.076e-08
22348.415,1.037e-08
22750.686,1.000e-08
23160.198,9.650e-09
23577.082,9.312e-09
24001.469,8.985e-09
24433.496,8.666e-09
24873.299,8.356e-09
25321.018,8.056e-09
25776.796,7.765e-09
26240.779,7.487e-09
26713.113,7.223e-09
27193.949,6.967e-09
27683.440,6.719e-09
28181.742,6.476e-09
28689.013,6.239e-09
29205.415,6.013e-09
29731.113,5.798e-09
30266.273,5.590e-09
